Year,Time serieses,Type of product,Value
2000,preferencial status,Agricultural products,10.24572
2005,preferencial status,Agricultural products,11.04442
2010,preferencial status,Agricultural products,10.60588
2011,preferencial status,Agricultural products,6.19085
2012,preferencial status,Agricultural products,5.5231
2013,preferencial status,Agricultural products,5.19522
2014,preferencial status,Agricultural products,4.88385
2015,preferencial status,Agricultural products,4.47635
2016,preferencial status,Agricultural products,4.06457
2017,preferencial status,Agricultural products,3.51956
2018,preferencial status,Agricultural products,4.03987
2019,preferencial status,Agricultural products,3.82292
2000,preferencial status,Total or no breakdown,1.98015
2005,preferencial status,Total or no breakdown,1.84785
2010,preferencial status,Total or no breakdown,1.5983
2011,preferencial status,Total or no breakdown,1.1392
2012,preferencial status,Total or no breakdown,1.1529
2013,preferencial status,Total or no breakdown,0.6988
2014,preferencial status,Total or no breakdown,0.58898
2015,preferencial status,Total or no breakdown,0.53009
2016,preferencial status,Total or no breakdown,0.16647
2017,preferencial status,Total or no breakdown,0.18639
2018,preferencial status,Total or no breakdown,0.12896
2019,preferencial status,Total or no breakdown,0.13903
2000,preferencial status,Arms,1.04129
2005,preferencial status,Arms,0.96376
2010,preferencial status,Arms,0.96139
2011,preferencial status,Arms,0.59477
2012,preferencial status,Arms,0.63105
2013,preferencial status,Arms,0.28081
2014,preferencial status,Arms,0.28081
2015,preferencial status,Arms,0.28052
2016,preferencial status,Arms,0.03395
2017,preferencial status,Arms,0.03326
2018,preferencial status,Arms,0.03326
2019,preferencial status,Arms,0.03326
2000,preferencial status,Clothing,13.28555
2005,preferencial status,Clothing,12.33657
2010,preferencial status,Clothing,12.52568
2011,preferencial status,Clothing,9.00536
2012,preferencial status,Clothing,9.00782
2013,preferencial status,Clothing,3.19203
2014,preferencial status,Clothing,3.00212
2015,preferencial status,Clothing,2.54647
2016,preferencial status,Clothing,2.14519
2017,preferencial status,Clothing,1.86969
2018,preferencial status,Clothing,1.77323
2019,preferencial status,Clothing,1.67627
2000,preferencial status,Industrial products,1.87223
2005,preferencial status,Industrial products,1.74735
2010,preferencial status,Industrial products,1.49463
2011,preferencial status,Industrial products,1.06726
2012,preferencial status,Industrial products,1.08191
2013,preferencial status,Industrial products,0.67177
2014,preferencial status,Industrial products,0.5631
2015,preferencial status,Industrial products,0.50801
2016,preferencial status,Industrial products,0.14473
2017,preferencial status,Industrial products,0.16786
2018,preferencial status,Industrial products,0.11002
2019,preferencial status,Industrial products,0.10121
2000,preferencial status,Oil,0.29983
2005,preferencial status,Oil,0.16938
2010,preferencial status,Oil,0.0
2011,preferencial status,Oil,0.0
2012,preferencial status,Oil,0.0
2013,preferencial status,Oil,0.0
2014,preferencial status,Oil,0.0
2015,preferencial status,Oil,0.0
2016,preferencial status,Oil,0.0
2017,preferencial status,Oil,0.0
2018,preferencial status,Oil,0.0
2019,preferencial status,Oil,0.0
2000,preferencial status,Textiles,8.39318
2005,preferencial status,Textiles,7.11916
2010,preferencial status,Textiles,6.91516
2011,preferencial status,Textiles,4.48744
2012,preferencial status,Textiles,4.46561
2013,preferencial status,Textiles,2.1636
2014,preferencial status,Textiles,1.90122
2015,preferencial status,Textiles,1.64344
2016,preferencial status,Textiles,1.27852
2017,preferencial status,Textiles,1.14223
2018,preferencial status,Textiles,1.09354
2019,preferencial status,Textiles,1.01648
2000,most-favoured-nation status,Agricultural products,10.31922
2005,most-favoured-nation status,Agricultural products,11.11541
2010,most-favoured-nation status,Agricultural products,10.80633
2011,most-favoured-nation status,Agricultural products,10.8298
2012,most-favoured-nation status,Agricultural products,10.17327
2013,most-favoured-nation status,Agricultural products,10.71739
2014,most-favoured-nation status,Agricultural products,10.77018
2015,most-favoured-nation status,Agricultural products,10.7474
2016,most-favoured-nation status,Agricultural products,10.76111
2017,most-favoured-nation status,Agricultural products,10.20863
2018,most-favoured-nation status,Agricultural products,10.81967
2019,most-favoured-nation status,Agricultural products,10.63948
2000,most-favoured-nation status,Total or no breakdown,2.00656
2005,most-favoured-nation status,Total or no breakdown,1.87166
2010,most-favoured-nation status,Total or no breakdown,1.61574
2011,most-favoured-nation status,Total or no breakdown,1.6129
2012,most-favoured-nation status,Total or no breakdown,1.61055
2013,most-favoured-nation status,Total or no breakdown,1.60474
2014,most-favoured-nation status,Total or no breakdown,1.6071
2015,most-favoured-nation status,Total or no breakdown,1.7313
2016,most-favoured-nation status,Total or no breakdown,1.67528
2017,most-favoured-nation status,Total or no breakdown,1.88355
2018,most-favoured-nation status,Total or no breakdown,1.82196
2019,most-favoured-nation status,Total or no breakdown,1.79684
2000,most-favoured-nation status,Arms,1.11347
2005,most-favoured-nation status,Arms,1.03352
2010,most-favoured-nation status,Arms,1.03584
2011,most-favoured-nation status,Arms,1.0217
2012,most-favoured-nation status,Arms,1.07443
2013,most-favoured-nation status,Arms,1.07443
2014,most-favoured-nation status,Arms,1.07445
2015,most-favoured-nation status,Arms,1.07445
2016,most-favoured-nation status,Arms,1.0745
2017,most-favoured-nation status,Arms,1.02403
2018,most-favoured-nation status,Arms,1.07445
2019,most-favoured-nation status,Arms,1.07446
2000,most-favoured-nation status,Clothing,13.32878
2005,most-favoured-nation status,Clothing,12.37509
2010,most-favoured-nation status,Clothing,12.62214
2011,most-favoured-nation status,Clothing,12.61458
2012,most-favoured-nation status,Clothing,12.61698
2013,most-favoured-nation status,Clothing,12.60162
2014,most-favoured-nation status,Clothing,12.63986
2015,most-favoured-nation status,Clothing,12.54273
2016,most-favoured-nation status,Clothing,12.54212
2017,most-favoured-nation status,Clothing,12.39252
2018,most-favoured-nation status,Clothing,12.53384
2019,most-favoured-nation status,Clothing,12.53477
2000,most-favoured-nation status,Industrial products,1.8984
2005,most-favoured-nation status,Industrial products,1.77099
2010,most-favoured-nation status,Industrial products,1.51117
2011,most-favoured-nation status,Industrial products,1.50841
2012,most-favoured-nation status,Industrial products,1.50683
2013,most-favoured-nation status,Industrial products,1.50045
2014,most-favoured-nation status,Industrial products,1.50251
2015,most-favoured-nation status,Industrial products,1.62873
2016,most-favoured-nation status,Industrial products,1.572
2017,most-favoured-nation status,Industrial products,1.78455
2018,most-favoured-nation status,Industrial products,1.72025
2019,most-favoured-nation status,Industrial products,1.69119
2000,most-favoured-nation status,Oil,0.29983
2005,most-favoured-nation status,Oil,0.16938
2010,most-favoured-nation status,Oil,0.0
2011,most-favoured-nation status,Oil,0.0
2012,most-favoured-nation status,Oil,0.0
2013,most-favoured-nation status,Oil,0.0
2014,most-favoured-nation status,Oil,0.0
2015,most-favoured-nation status,Oil,0.0
2016,most-favoured-nation status,Oil,0.0
2017,most-favoured-nation status,Oil,0.0
2018,most-favoured-nation status,Oil,0.0
2019,most-favoured-nation status,Oil,0.0
2000,most-favoured-nation status,Textiles,8.44352
