Year,Sex,Age,Residential area,Income classes,Value
2001,,,,,18.4
2001,,01~02,,,15.7
2001,,03~05,,,16.8
2001,,06~11,,,16.1
2001,,12~18,,,21.5
2001,,19~29,,,20.8
2001,,30~49,,,15.5
2001,,50~64,,,17.4
2001,,65~,,,27.8
2001,,,Suburban(Dong),,18.0
2001,,,Rural(Eup/Myeon),,20.0
2001,,,,Lower,24.2
2001,,,,Lower-middle,21.6
2001,,,,Middle,16.5
2001,,,,Upper-middle,16.8
2001,,,,Upper,13.2
2001,Male,,,,14.2
2001,Male,01~02,,,15.2
2001,Male,03~05,,,13.0
2001,Male,06~11,,,13.3
2001,Male,12~18,,,18.9
2001,Male,19~29,,,17.3
2001,Male,30~49,,,10.6
2001,Male,50~64,,,13.8
2001,Male,65~,,,20.9
2001,Male,,Suburban(Dong),,13.7
2001,Male,,Rural(Eup/Myeon),,16.4
2001,Male,,,Lower,19.4
2001,Male,,,Lower-middle,17.7
2001,Male,,,Middle,11.3
2001,Male,,,Upper-middle,13.2
2001,Male,,,Upper,10.4
2001,Female,,,,22.1
2001,Female,01~02,,,16.2
2001,Female,03~05,,,21.3
2001,Female,06~11,,,19.3
2001,Female,12~18,,,24.1
2001,Female,19~29,,,23.7
2001,Female,30~49,,,19.9
2001,Female,50~64,,,20.3
2001,Female,65~,,,32.1
2001,Female,,Suburban(Dong),,21.9
2001,Female,,Rural(Eup/Myeon),,23.2
2001,Female,,,Lower,28.4
2001,Female,,,Lower-middle,25.3
2001,Female,,,Middle,21.4
2001,Female,,,Upper-middle,19.9
2001,Female,,,Upper,15.7
2005,,,,,11.6
2005,,01~02,,,8.7
2005,,03~05,,,7.1
2005,,06~11,,,6.7
2005,,12~18,,,14.5
2005,,19~29,,,16.0
2005,,30~49,,,10.2
2005,,50~64,,,9.7
2005,,65~,,,15.8
2005,,,Suburban(Dong),,11.4
2005,,,Rural(Eup/Myeon),,12.3
2005,,,,Lower,14.1
2005,,,,Lower-middle,12.8
2005,,,,Middle,9.9
2005,,,,Upper-middle,9.5
2005,,,,Upper,11.5
2005,Male,,,,9.4
2005,Male,01~02,,,4.9
2005,Male,03~05,,,6.6
2005,Male,06~11,,,6.6
2005,Male,12~18,,,15.2
2005,Male,19~29,,,12.5
2005,Male,30~49,,,7.0
2005,Male,50~64,,,8.7
2005,Male,65~,,,13.8
2005,Male,,Suburban(Dong),,9.3
2005,Male,,Rural(Eup/Myeon),,10.0
2005,Male,,,Lower,12.3
2005,Male,,,Lower-middle,12.1
2005,Male,,,Middle,7.4
2005,Male,,,Upper-middle,6.8
2005,Male,,,Upper,8.8
2005,Female,,,,13.7
2005,Female,01~02,,,12.9
2005,Female,03~05,,,7.6
2005,Female,06~11,,,6.8
2005,Female,12~18,,,13.6
2005,Female,19~29,,,19.7
2005,Female,30~49,,,13.6
2005,Female,50~64,,,10.6
2005,Female,65~,,,17.2
2005,Female,,Suburban(Dong),,13.6
2005,Female,,Rural(Eup/Myeon),,14.6
2005,Female,,,Lower,16.0
2005,Female,,,Lower-middle,13.6
2005,Female,,,Middle,12.5
2005,Female,,,Upper-middle,12.0
2005,Female,,,Upper,14.1
2007,,,,,17.1
2007,,01~02,,,18.1
2007,,03~05,,,15.5
2007,,06~11,,,11.3
2007,,12~18,,,19.9
2007,,19~29,,,21.8
2007,,30~49,,,14.1
2007,,50~64,,,13.7
2007,,65~,,,27.5
2007,,,Suburban(Dong),,17.4
2007,,,Rural(Eup/Myeon),,16.2
2007,,,,Lower,21.0
2007,,,,Lower-middle,16.8
2007,,,,Middle,15.2
2007,,,,Upper-middle,19.0
2007,,,,Upper,13.2
2007,Male,,,,11.3
2007,Male,01~02,,,16.0
2007,Male,03~05,,,16.9
2007,Male,06~11,,,12.0
2007,Male,12~18,,,20.9
2007,Male,19~29,,,13.6
2007,Male,30~49,,,5.0
2007,Male,50~64,,,7.1
2007,Male,65~,,,24.2
2007,Male,,Suburban(Dong),,11.3
2007,Male,,Rural(Eup/Myeon),,11.1
2007,Male,,,Lower,14.7
2007,Male,,,Lower-middle,8.9
2007,Male,,,Middle,8.5
2007,Male,,,Upper-middle,16.5
2007,Male,,,Upper,6.8
2007,Female,,,,23.0
2007,Female,01~02,,,21.0
2007,Female,03~05,,,14.2
2007,Female,06~11,,,10.5
2007,Female,12~18,,,18.7
2007,Female,19~29,,,30.2
2007,Female,30~49,,,23.6
2007,Female,50~64,,,20.1
2007,Female,65~,,,29.7
2007,Female,,Suburban(Dong),,23.3
2007,Female,,Rural(Eup/Myeon),,21.9
2007,Female,,,Lower,27.6
2007,Female,,,Lower-middle,25.2
2007,Female,,,Middle,22.2
2007,Female,,,Upper-middle,21.5
2007,Female,,,Upper,19.6
2008,,,,,13.8
2008,,01~02,,,7.6
2008,,03~05,,,6.7
2008,,06~11,,,6.8
2008,,12~18,,,20.0
2008,,19~29,,,20.7
2008,,30~49,,,11.2
2008,,50~64,,,9.3
2008,,65~,,,20.5
2008,,,Suburban(Dong),,13.6
2008,,,Rural(Eup/Myeon),,14.6
2008,,,,Lower,17.9
2008,,,,Lower-middle,15.0
2008,,,,Middle,13.1
2008,,,,Upper-middle,11.7
2008,,,,Upper,10.4
2008,Male,,,,10.8
2008,Male,01~02,,,8.8
2008,Male,03~05,,,7.2
2008,Male,06~11,,,5.0
2008,Male,12~18,,,19.8
2008,Male,19~29,,,16.6
2008,Male,30~49,,,7.8
2008,Male,50~64,,,6.7
2008,Male,65~,,,15.2
2008,Male,,Suburban(Dong),,10.4
