Year,Residential area,Income classes,Value
2005,,,87.9
2005,Suburban(Dong),,88.2
2005,Rural(Eup/Myeon),,86.6
2005,,Lower,73.4
2005,,Lower-middle,86.4
2005,,Middle,92.0
2005,,Upper-middle,94.3
2005,,Upper,99.7
2007,,,89.0
2007,Suburban(Dong),,90.2
2007,Rural(Eup/Myeon),,85.0
2007,,Lower,72.8
2007,,Lower-middle,87.2
2007,,Middle,96.4
2007,,Upper-middle,98.1
2007,,Upper,99.3
2008,,,88.2
2008,Suburban(Dong),,89.2
2008,Rural(Eup/Myeon),,84.0
2008,,Lower,70.7
2008,,Lower-middle,88.0
2008,,Middle,92.3
2008,,Upper-middle,96.6
2008,,Upper,99.0
2009,,,92.0
2009,Suburban(Dong),,92.4
2009,Rural(Eup/Myeon),,90.7
2009,,Lower,80.6
2009,,Lower-middle,93.2
2009,,Middle,94.4
2009,,Upper-middle,97.8
2009,,Upper,99.6
2010,,,95.4
2010,Suburban(Dong),,95.0
2010,Rural(Eup/Myeon),,96.6
2010,,Lower,88.1
2010,,Lower-middle,97.5
2010,,Middle,98.6
2010,,Upper-middle,99.6
2010,,Upper,99.2
2011,,,95.2
2011,Suburban(Dong),,95.5
2011,Rural(Eup/Myeon),,94.4
2011,,Lower,88.2
2011,,Lower-middle,97.1
2011,,Middle,98.7
2011,,Upper-middle,98.6
2011,,Upper,99.7
2012,,,92.2
2012,Suburban(Dong),,92.1
2012,Rural(Eup/Myeon),,92.3
2012,,Lower,82.1
2012,,Lower-middle,92.6
2012,,Middle,98.7
2012,,Upper-middle,98.7
2012,,Upper,99.6
2013,,,93.5
2013,Suburban(Dong),,92.8
2013,Rural(Eup/Myeon),,96.2
2013,,Lower,82.1
2013,,Lower-middle,95.9
2013,,Middle,98.2
2013,,Upper-middle,98.5
2013,,Upper,99.5
2014,,,93.8
2014,Suburban(Dong),,93.8
2014,Rural(Eup/Myeon),,94.0
2014,,Lower,84.9
2014,,Lower-middle,93.4
2014,,Middle,97.6
2014,,Upper-middle,99.6
2014,,Upper,99.5
2015,,,93.5
2015,Suburban(Dong),,93.4
2015,Rural(Eup/Myeon),,93.8
2015,,Lower,84.4
2015,,Lower-middle,94.3
2015,,Middle,95.0
2015,,Upper-middle,98.8
2015,,Upper,99.7
2016,,,95.8
2016,Suburban(Dong),,95.9
2016,Rural(Eup/Myeon),,95.2
2016,,Lower,89.2
2016,,Lower-middle,96.1
2016,,Middle,97.9
2016,,Upper-middle,99.7
2016,,Upper,99.5
2017,,,96.3
2017,Suburban(Dong),,96.5
2017,Rural(Eup/Myeon),,94.9
2017,,Lower,88.2
2017,,Lower-middle,94.9
2017,,Middle,98.4
2017,,Upper-middle,99.8
2017,,Upper,99.5
2018,,,96.9
2018,Suburban(Dong),,97.1
2018,Rural(Eup/Myeon),,96.0
2018,,Lower,88.5
2018,,Lower-middle,97.7
2018,,Middle,98.6
2018,,Upper-middle,99.5
2018,,Upper,99.9
