Year,Category,Value
2000,overweight,7.2
2001,overweight,7.2
2002,overweight,7.1
2003,overweight,7.1
2004,overweight,7.1
2005,overweight,7.2
2006,overweight,7.2
2007,overweight,7.2
2008,overweight,7.2
2009,overweight,7.1
2010,overweight,7.0
2011,overweight,6.9
2012,overweight,6.8
2013,overweight,6.7
2014,overweight,6.6
2015,overweight,6.5
2016,overweight,6.3
2017,overweight,6.2
2018,overweight,6.0
2019,overweight,5.8
2020,overweight,5.7
2021,overweight,5.5
2022,overweight,5.4
2003,underweight,0.9
2008,underweight,0.6
2011,underweight,0.5
2014,underweight,0.6
2017,underweight,0.9
2020,underweight,0.2
