Year,Units,Value
2001,Agriculture orientation index for government expenditures,1.598
2002,Agriculture orientation index for government expenditures,1.616
2003,Agriculture orientation index for government expenditures,1.655
2004,Agriculture orientation index for government expenditures,1.502
2005,Agriculture orientation index for government expenditures,1.716
2006,Agriculture orientation index for government expenditures,2.043
2007,Agriculture orientation index for government expenditures,2.101
2008,Agriculture orientation index for government expenditures,2.201
2009,Agriculture orientation index for government expenditures,1.897
2010,Agriculture orientation index for government expenditures,2.086
2011,Agriculture orientation index for government expenditures,2.154
2012,Agriculture orientation index for government expenditures,1.955
2013,Agriculture orientation index for government expenditures,1.939
2014,Agriculture orientation index for government expenditures,1.809
2015,Agriculture orientation index for government expenditures,2.059
2016,Agriculture orientation index for government expenditures,2.174
2017,Agriculture orientation index for government expenditures,2.163
2018,Agriculture orientation index for government expenditures,2.321
2019,Agriculture orientation index for government expenditures,2.099
2001,Agriculture share of Government Expenditure(%),5.69974
2002,Agriculture share of Government Expenditure(%),5.18095
2003,Agriculture share of Government Expenditure(%),4.90677
2004,Agriculture share of Government Expenditure(%),4.44192
2005,Agriculture share of Government Expenditure(%),4.49618
2006,Agriculture share of Government Expenditure(%),5.1013
2007,Agriculture share of Government Expenditure(%),4.79824
2008,Agriculture share of Government Expenditure(%),4.71453
2009,Agriculture share of Government Expenditure(%),4.25093
2010,Agriculture share of Government Expenditure(%),4.47172
2011,Agriculture share of Government Expenditure(%),4.7592
2012,Agriculture share of Government Expenditure(%),4.27384
2013,Agriculture share of Government Expenditure(%),4.06971
2014,Agriculture share of Government Expenditure(%),3.72095
2015,Agriculture share of Government Expenditure(%),4.12655
2016,Agriculture share of Government Expenditure(%),4.04131
2017,Agriculture share of Government Expenditure(%),4.0
2018,Agriculture share of Government Expenditure(%),4.05
2019,Agriculture share of Government Expenditure(%),3.41
2001,Agriculture value added share of GDP(%),3.56582
2002,Agriculture value added share of GDP(%),3.2068
2003,Agriculture value added share of GDP(%),2.9646
2004,Agriculture value added share of GDP(%),2.95802
2005,Agriculture value added share of GDP(%),2.61998
2006,Agriculture value added share of GDP(%),2.49747
2007,Agriculture value added share of GDP(%),2.28341
2008,Agriculture value added share of GDP(%),2.14225
2009,Agriculture value added share of GDP(%),2.24056
2010,Agriculture value added share of GDP(%),2.14402
2011,Agriculture value added share of GDP(%),2.2092
2012,Agriculture value added share of GDP(%),2.18619
2013,Agriculture value added share of GDP(%),2.09905
2014,Agriculture value added share of GDP(%),2.05668
2015,Agriculture value added share of GDP(%),2.00391
2016,Agriculture value added share of GDP(%),1.85903
2017,Agriculture value added share of GDP(%),1.85076
2018,Agriculture value added share of GDP(%),1.7464
2019,Agriculture value added share of GDP(%),1.6224
2020,Agriculture value added share of GDP(%),1.7581
