Year,Diseases,Value
2001,,7
2001,Leprosy,0
2001,Rabies,1
2001,Dengue,6
2002,,10
2002,Leprosy,0
2002,Rabies,1
2002,Dengue,9
2003,,16
2003,Leprosy,0
2003,Rabies,2
2003,Dengue,14
2004,,17
2004,Leprosy,0
2004,Rabies,1
2004,Dengue,16
2005,,34
2005,Leprosy,0
2005,Rabies,0
2005,Dengue,34
2006,,35
2006,Leprosy,0
2006,Rabies,0
2006,Dengue,35
2007,,97
2007,Leprosy,0
2007,Rabies,0
2007,Dengue,97
2008,,51
2008,Leprosy,0
2008,Rabies,0
2008,Dengue,51
2009,,59
2009,Leprosy,0
2009,Rabies,0
2009,Dengue,59
2010,,125
2010,Leprosy,0
2010,Rabies,0
2010,Dengue,125
2011,,79
2011,Leprosy,7
2011,Rabies,0
2011,Dengue,72
2012,,154
2012,Leprosy,5
2012,Rabies,0
2012,Dengue,149
2013,,259
2013,Leprosy,7
2013,Rabies,0
2013,Dengue,252
2014,,171
2014,Leprosy,6
2014,Rabies,0
2014,Dengue,165
2015,,257
2015,Leprosy,2
2015,Rabies,0
2015,Dengue,255
2016,,317
2016,Leprosy,4
2016,Rabies,0
2016,Dengue,313
2017,,174
2017,Leprosy,3
2017,Rabies,0
2017,Dengue,171
2018,,165
2018,Leprosy,6
2018,Rabies,0
2018,Dengue,159
2019,,277
2019,Leprosy,4
2019,Rabies,0
2019,Dengue,273
2020,,45
2020,Leprosy,3
2020,Rabies,0
2020,Dengue,42
