Year,Cause of death,Sex,Value
2000,Cancer,,122.4
2000,Cancer,Male,156.0
2000,Cancer,Female,88.6
2000,Diabetes,,22.7
2000,Diabetes,Male,22.6
2000,Diabetes,Female,22.8
2000,Cardiovascular diseases,,0.3
2000,Cardiovascular diseases,Male,0.2
2000,Cardiovascular diseases,Female,0.5
2000,Chronic respiratory diseases,,12.1923580513622
2000,Chronic respiratory diseases,Male,14.1516521271616
2000,Chronic respiratory diseases,Female,10.3178990034973
2001,Cancer,,123.8
2001,Cancer,Male,157.3
2001,Cancer,Female,90.1
2001,Diabetes,,23.9
2001,Diabetes,Male,23.6
2001,Diabetes,Female,24.3
2001,Cardiovascular diseases,,0.3
2001,Cardiovascular diseases,Male,0.2
2001,Cardiovascular diseases,Female,0.5
2001,Chronic respiratory diseases,,12.7348397865012
2001,Chronic respiratory diseases,Male,14.8060248819801
2001,Chronic respiratory diseases,Female,10.7704740730879
2002,Cancer,,130.9
2002,Cancer,Male,166.4
2002,Cancer,Female,95.2
2002,Diabetes,,25.2
2002,Diabetes,Male,24.4
2002,Diabetes,Female,26.1
2002,Cardiovascular diseases,,0.6
2002,Cardiovascular diseases,Male,0.5
2002,Cardiovascular diseases,Female,0.7
2002,Chronic respiratory diseases,,14.0215914133642
2002,Chronic respiratory diseases,Male,15.9033153576332
2002,Chronic respiratory diseases,Female,12.1488036676538
2003,Cancer,,131.9
2003,Cancer,Male,166.3
2003,Cancer,Female,97.3
2003,Diabetes,,25.2
2003,Diabetes,Male,24.9
2003,Diabetes,Female,25.4
2003,Cardiovascular diseases,,0.7
2003,Cardiovascular diseases,Male,0.5
2003,Cardiovascular diseases,Female,0.8
2003,Chronic respiratory diseases,,11.7953071585208
2003,Chronic respiratory diseases,Male,13.7971328841653
2003,Chronic respiratory diseases,Female,9.82262760495319
2004,Cancer,,133.4
2004,Cancer,Male,169.6
2004,Cancer,Female,97.1
2004,Diabetes,,24.4
2004,Diabetes,Male,24.2
2004,Diabetes,Female,24.6
2004,Cardiovascular diseases,,0.6
2004,Cardiovascular diseases,Male,0.5
2004,Cardiovascular diseases,Female,0.7
2004,Chronic respiratory diseases,,11.0263664015416
2004,Chronic respiratory diseases,Male,13.8998580671324
2004,Chronic respiratory diseases,Female,8.11860311106533
2005,Cancer,,134.6
2005,Cancer,Male,169.3
2005,Cancer,Female,99.7
2005,Diabetes,,24.3
2005,Diabetes,Male,24.5
2005,Diabetes,Female,24.2
2005,Cardiovascular diseases,,0.6
2005,Cardiovascular diseases,Male,0.5
2005,Cardiovascular diseases,Female,0.7
2005,Chronic respiratory diseases,,10.4171866737176
2005,Chronic respiratory diseases,Male,12.8252090227124
2005,Chronic respiratory diseases,Female,7.97811704834606
2006,Cancer,,134.8
2006,Cancer,Male,171.6
2006,Cancer,Female,97.9
2006,Diabetes,,23.8
2006,Diabetes,Male,23.8
2006,Diabetes,Female,23.8
2006,Cardiovascular diseases,,0.6
2006,Cardiovascular diseases,Male,0.4
2006,Cardiovascular diseases,Female,0.7
2006,Chronic respiratory diseases,,9.97342523293511
