Year,Sex,Value
2001,,30.2
2001,Male,60.9
2001,Female,5.2
2005,,28.8
2005,Male,51.7
2005,Female,5.7
2007,,25.3
2007,Male,45.1
2007,Female,5.3
2008,,27.8
2008,Male,47.8
2008,Female,7.4
2009,,27.3
2009,Male,47.0
2009,Female,7.1
2010,,27.5
2010,Male,48.3
2010,Female,6.3
2011,,27.1
2011,Male,47.3
2011,Female,6.8
2012,,25.8
2012,Male,43.7
2012,Female,7.9
2013,,24.1
2013,Male,42.2
2013,Female,6.2
2014,,24.2
2014,Male,43.2
2014,Female,5.7
2015,,22.6
2015,Male,39.4
2015,Female,5.5
2016,,23.9
2016,Male,40.7
2016,Female,6.4
2017,,22.3
2017,Male,38.1
2017,Female,6.0
2018,,22.4
2018,Male,36.7
2018,Female,7.5
2019,,21.5
2019,Male,35.7
2019,Female,6.7
2020,,20.6
2020,Male,34.0
2020,Female,6.6
