Year,Units,Sex,Value
2000,Pre-primary,,	
2000,Pre-primary,Female,
2000,Pre-primary,Male,	
2000,Primary,,100
2000,Primary,Female,100
2000,Primary,Male,100
2000,Secondary,,100
2000,Secondary,Female,100
2000,Secondary,Male,100
2000,Lower_secondary,,100
2000,Lower_secondary,Female,100
2000,Lower_secondary,Male,100
2000,Upper_secondary,,100
2000,Upper_secondary,Female,100
2000,Upper_secondary,Male,100
2001,Pre-primary,,	
2001,Pre-primary,Female,
2001,Pre-primary,Male,	
2001,Primary,,100
2001,Primary,Female,100
2001,Primary,Male,100
2001,Secondary,,100
2001,Secondary,Female,100
2001,Secondary,Male,100
2001,Lower_secondary,,100
2001,Lower_secondary,Female,100
2001,Lower_secondary,Male,100
2001,Upper_secondary,,100
2001,Upper_secondary,Female,100
2001,Upper_secondary,Male,100
2002,Pre-primary,,	
2002,Pre-primary,Female,
2002,Pre-primary,Male,	
2002,Primary,,100
2002,Primary,Female,100
2002,Primary,Male,100
2002,Secondary,,100
2002,Secondary,Female,100
2002,Secondary,Male,100
2002,Lower_secondary,,100
2002,Lower_secondary,Female,100
2002,Lower_secondary,Male,100
2002,Upper_secondary,,100
2002,Upper_secondary,Female,100
2002,Upper_secondary,Male,100
2003,Pre-primary,,	
2003,Pre-primary,Female,
2003,Pre-primary,Male,	
2003,Primary,,100
2003,Primary,Female,100
2003,Primary,Male,100
2003,Secondary,,100
2003,Secondary,Female,100
2003,Secondary,Male,100
2003,Lower_secondary,,100
2003,Lower_secondary,Female,100
2003,Lower_secondary,Male,100
2003,Upper_secondary,,100
2003,Upper_secondary,Female,100
2003,Upper_secondary,Male,100
2004,Pre-primary,,	
2004,Pre-primary,Female,
2004,Pre-primary,Male,	
2004,Primary,,100
2004,Primary,Female,100
2004,Primary,Male,100
2004,Secondary,,100
2004,Secondary,Female,100
2004,Secondary,Male,100
2004,Lower_secondary,,100
2004,Lower_secondary,Female,100
2004,Lower_secondary,Male,100
2004,Upper_secondary,,100
2004,Upper_secondary,Female,100
2004,Upper_secondary,Male,100
2005,Pre-primary,,	
2005,Pre-primary,Female,
2005,Pre-primary,Male,	
2005,Primary,,100
2005,Primary,Female,100
2005,Primary,Male,100
2005,Secondary,,100
2005,Secondary,Female,100
2005,Secondary,Male,100
2005,Lower_secondary,,100
2005,Lower_secondary,Female,100
2005,Lower_secondary,Male,100
2005,Upper_secondary,,100
2005,Upper_secondary,Female,100
2005,Upper_secondary,Male,100
2006,Pre-primary,,	
2006,Pre-primary,Female,
2006,Pre-primary,Male,	
2006,Primary,,100
2006,Primary,Female,100
2006,Primary,Male,100
2006,Secondary,,100
2006,Secondary,Female,100
2006,Secondary,Male,100
2006,Lower_secondary,,100
2006,Lower_secondary,Female,100
2006,Lower_secondary,Male,100
2006,Upper_secondary,,100
2006,Upper_secondary,Female,100
2006,Upper_secondary,Male,100
2007,Pre-primary,,	
2007,Pre-primary,Female,
2007,Pre-primary,Male,	
2007,Primary,,100
2007,Primary,Female,100
2007,Primary,Male,100
2007,Secondary,,100
2007,Secondary,Female,100
2007,Secondary,Male,100
2007,Lower_secondary,,100
2007,Lower_secondary,Female,100
2007,Lower_secondary,Male,100
2007,Upper_secondary,,100
2007,Upper_secondary,Female,100
2007,Upper_secondary,Male,100
2008,Pre-primary,,	
2008,Pre-primary,Female,
2008,Pre-primary,Male,	
2008,Primary,,100
2008,Primary,Female,100
2008,Primary,Male,100
2008,Secondary,,100
2008,Secondary,Female,100
2008,Secondary,Male,100
2008,Lower_secondary,,100
2008,Lower_secondary,Female,100
2008,Lower_secondary,Male,100
2008,Upper_secondary,,100
2008,Upper_secondary,Female,100
2008,Upper_secondary,Male,100
2009,Pre-primary,,	
2009,Pre-primary,Female,
2009,Pre-primary,Male,	
2009,Primary,,100
2009,Primary,Female,100
2009,Primary,Male,100
2009,Secondary,,100
2009,Secondary,Female,100
2009,Secondary,Male,100
2009,Lower_secondary,,100
2009,Lower_secondary,Female,100
2009,Lower_secondary,Male,100
2009,Upper_secondary,,100
2009,Upper_secondary,Female,100
2009,Upper_secondary,Male,100
2010,Pre-primary,,	
2010,Pre-primary,Female,
2010,Pre-primary,Male,	
2010,Primary,,100
2010,Primary,Female,100
2010,Primary,Male,100
2010,Secondary,,100
2010,Secondary,Female,100
2010,Secondary,Male,100
2010,Lower_secondary,,100
2010,Lower_secondary,Female,100
2010,Lower_secondary,Male,100
2010,Upper_secondary,,100
2010,Upper_secondary,Female,100
2010,Upper_secondary,Male,100
2011,Pre-primary,,100	
2011,Pre-primary,Female,100
2011,Pre-primary,Male,100
2011,Primary,,100
2011,Primary,Female,100
2011,Primary,Male,100
2011,Secondary,,100
2011,Secondary,Female,100
2011,Secondary,Male,100
2011,Lower_secondary,,100
2011,Lower_secondary,Female,100
2011,Lower_secondary,Male,100
2011,Upper_secondary,,100
2011,Upper_secondary,Female,100
2011,Upper_secondary,Male,100
2012,Pre-primary,,	
2012,Pre-primary,Female,
2012,Pre-primary,Male,	
2012,Primary,,100
2012,Primary,Female,100
2012,Primary,Male,100
2012,Secondary,,100
2012,Secondary,Female,100
2012,Secondary,Male,100
2011,Lower_secondary,,100
2011,Lower_secondary,Female,100
2011,Lower_secondary,Male,100
2012,Upper_secondary,,100
2012,Upper_secondary,Female,100
2012,Upper_secondary,Male,100
2013,Pre-primary,,100	
2013,Pre-primary,Female,100
2013,Pre-primary,Male,100
2013,Primary,,100
2013,Primary,Female,100
2013,Primary,Male,100
2013,Secondary,,100
2013,Secondary,Female,100
2013,Secondary,Male,100
2011,Lower_secondary,,100
2011,Lower_secondary,Female,100
2011,Lower_secondary,Male,100
2013,Upper_secondary,,100
2013,Upper_secondary,Female,100
2013,Upper_secondary,Male,100
2014,Pre-primary,,100	
2014,Pre-primary,Female,100
2014,Pre-primary,Male,100
2014,Primary,,100
2014,Primary,Female,100
