Year,Category,Value
2000,Industries,64.55
2001,Industries,60.89
2002,Industries,61.37
2003,Industries,63.91
2004,Industries,71.24
2005,Industries,73.13
2006,Industries,75.5
2007,Industries,79.96
2008,Industries,81.73
2009,Industries,82.53
2010,Industries,91.18
2011,Industries,96.23
2012,Industries,97.33
2013,Industries,100.87
2014,Industries,101.9
2015,Industries,104.19
2016,Industries,107.67
2017,Industries,113.99
2018,Industries,115.55
2019,Industries,113.6
2019,Agriculture(ISIC4 A01 A0210 A0322),1.49
2018,Agriculture(ISIC4 A01 A0210 A0322),1.62
2016,Agriculture(ISIC4 A01 A0210 A0322),1.53
2017,Agriculture(ISIC4 A01 A0210 A0322),1.59
2012,Agriculture(ISIC4 A01 A0210 A0322),1.54
2013,Agriculture(ISIC4 A01 A0210 A0322),1.54
2014,Agriculture(ISIC4 A01 A0210 A0322),1.57
2015,Agriculture(ISIC4 A01 A0210 A0322),1.58
2010,Agriculture(ISIC4 A01 A0210 A0322),1.43
2011,Agriculture(ISIC4 A01 A0210 A0322),1.54
2008,Agriculture(ISIC4 A01 A0210 A0322),1.3
2009,Agriculture(ISIC4 A01 A0210 A0322),1.39
2004,Agriculture(ISIC4 A01 A0210 A0322),1.39
2005,Agriculture(ISIC4 A01 A0210 A0322),1.32
2006,Agriculture(ISIC4 A01 A0210 A0322),1.37
2007,Agriculture(ISIC4 A01 A0210 A0322),1.34
2002,Agriculture(ISIC4 A01 A0210 A0322),1.28
2003,Agriculture(ISIC4 A01 A0210 A0322),1.28
2000,Agriculture(ISIC4 A01 A0210 A0322),1.26
2001,Agriculture(ISIC4 A01 A0210 A0322),1.28
2000,Services(ISIC4 G to T),74.13
2002,Services(ISIC4 G to T),58.82
2001,Services(ISIC4 G to T),64.5
2003,Services(ISIC4 G to T),65.23
2004,Services(ISIC4 G to T),72.51
2006,Services(ISIC4 G to T),87.9
2005,Services(ISIC4 G to T),82.83
2007,Services(ISIC4 G to T),92.91
2008,Services(ISIC4 G to T),95.82
2009,Services(ISIC4 G to T),96.26
2011,Services(ISIC4 G to T),102.71
2010,Services(ISIC4 G to T),100.15
2014,Services(ISIC4 G to T),113.14
2012,Services(ISIC4 G to T),105.52
2016,Services(ISIC4 G to T),130.96
2013,Services(ISIC4 G to T),108.81
2015,Services(ISIC4 G to T),129.97
2017,Services(ISIC4 G to T),133.05
2018,Services(ISIC4 G to T),137.47
2019,Services(ISIC4 G to T),144.52
2019,Total(no breakdown),55.15
2018,Total(no breakdown),53.81
2016,Total(no breakdown),50.86
2017,Total(no breakdown),52.45
2015,Total(no breakdown),49.71
2013,Total(no breakdown),42.72
2012,Total(no breakdown),41.45
2014,Total(no breakdown),44.12
2010,Total(no breakdown),39.04
2011,Total(no breakdown),40.54
2008,Total(no breakdown),36.36
2009,Total(no breakdown),36.79
2006,Total(no breakdown),33.59
2007,Total(no breakdown),35.44
2005,Total(no breakdown),29.93
2004,Total(no breakdown),30.1
2003,Total(no breakdown),27.89
2002,Total(no breakdown),26.3
2000,Total(no breakdown),26.54
2001,Total(no breakdown),26.04
