Year,Category,Value
2006,Commitments,204.1
2007,Commitments,520.5
2008,Commitments,707.4
2009,Commitments,1175.6
2010,Commitments,786.8
2011,Commitments,792.7
2012,Commitments,820.6f
2013,Commitments,714.7
2014,Commitments,1032.7
2015,Commitments,898.8
2016,Commitments,1024.5
2017,Commitments,1143.4
2018,Commitments,1452.2
2019,Commitments,1402.9
2006,Disbursement,155
2007,Disbursement,170
2008,Disbursement,261
2009,Disbursement,296
2010,Disbursement,370
2011,Disbursement,428
2012,Disbursement,451
2013,Disbursement,551
2014,Disbursement,516
2015,Disbursement,592
2016,Disbursement,571
2017,Disbursement,538
2018,Disbursement,608
2019,Disbursement,687
