Year,Units,Mode of transportation,Value
2011,Domestic passenger,Rail,1118621
2012,Domestic passenger,Rail,1149340
2013,Domestic passenger,Rail,1224820
2014,Domestic passenger,Rail,1263472
2015,Domestic passenger,Rail,1269417
2016,Domestic passenger,Rail,1449534
2017,Domestic passenger,Rail,1490257
2018,Domestic passenger,Rail,1524590
2019,Domestic passenger,Rail,1570415
2020,Domestic passenger,Rail,1122872
2021,Domestic passenger,Rail,1170749
2011,Domestic passenger,Subway,2358758
2012,Domestic passenger,Subway,2410931
2013,Domestic passenger,Subway,2476394
2014,Domestic passenger,Subway,2526167
2015,Domestic passenger,Subway,2522900
2016,Domestic passenger,Subway,3572127
2017,Domestic passenger,Subway,3604712
2018,Domestic passenger,Subway,3618352
2019,Domestic passenger,Subway,3705150
2020,Domestic passenger,Subway,2677582
2021,Domestic passenger,Subway,2759948
2011,Domestic passenger,Sky roads,25943079
2012,Domestic passenger,Sky roads,25982998
2013,Domestic passenger,Sky roads,26327678
2014,Domestic passenger,Sky roads,26678513
2015,Domestic passenger,Sky roads,27193794
2016,Domestic passenger,Sky roads,28090714
2017,Domestic passenger,Sky roads,28192366
2018,Domestic passenger,Sky roads,28409618
2019,Domestic passenger,Sky roads,28649339
2020,Domestic passenger,Sky roads,25361540
2021,Domestic passenger,Sky roads,30168830
2011,Domestic passenger,Shipping,14266
2012,Domestic passenger,Shipping,14538
2013,Domestic passenger,Shipping,16063
2014,Domestic passenger,Shipping,14271
2015,Domestic passenger,Shipping,15381
2016,Domestic passenger,Shipping,15423
2017,Domestic passenger,Shipping,16910
2018,Domestic passenger,Shipping,14625
2019,Domestic passenger,Shipping,14585
2020,Domestic passenger,Shipping,10603
2021,Domestic passenger,Shipping,11464
2011,Domestic passenger,Air transport,20981
2012,Domestic passenger,Air transport,21602
2013,Domestic passenger,Air transport,22353
2014,Domestic passenger,Air transport,24648
2015,Domestic passenger,Air transport,27980
2016,Domestic passenger,Air transport,30913
2017,Domestic passenger,Air transport,32406
2018,Domestic passenger,Air transport,31601
2019,Domestic passenger,Air transport,32981
2020,Domestic passenger,Air transport,25164
2021,Domestic passenger,Air transport,33147
2011,International passenger,Shipping,2660
2012,International passenger,Shipping,2881
2013,International passenger,Shipping,2737
2014,International passenger,Shipping,2646
2015,International passenger,Shipping,2617
2016,International passenger,Shipping,2777
2017,International passenger,Shipping,2728
2018,International passenger,Shipping,2980
2019,International passenger,Shipping,2969
2020,International passenger,Shipping,169
2021,International passenger,Shipping,0
2011,International passenger,Air transport,42649
2012,International passenger,Air transport,47703
2013,International passenger,Air transport,50987
2014,International passenger,Air transport,56779
2015,International passenger,Air transport,61434
2016,International passenger,Air transport,73001
2017,International passenger,Air transport,76956
2018,International passenger,Air transport,85925
2019,International passenger,Air transport,90386
2020,International passenger,Air transport,14240
2021,International passenger,Air transport,3209
2011,Domestic freight,Rail,40012
2012,Domestic freight,Rail,40309
2013,Domestic freight,Rail,39822
2014,Domestic freight,Rail,37379
2015,Domestic freight,Rail,37094
2016,Domestic freight,Rail,32555
2017,Domestic freight,Rail,31670
2018,Domestic freight,Rail,30915
2019,Domestic freight,Rail,28664
2020,Domestic freight,Rail,26277
2021,Domestic freight,Rail,26780
2011,Domestic freight,Sky roads,1439625
2012,Domestic freight,Sky roads,1554510
2013,Domestic freight,Sky roads,1546407
2014,Domestic freight,Sky roads,1512700
2015,Domestic freight,Sky roads,1761291
2016,Domestic freight,Sky roads,1799565
2017,Domestic freight,Sky roads,1854011
2018,Domestic freight,Sky roads,1895686
2019,Domestic freight,Sky roads,1847241
2020,Domestic freight,Sky roads,1788917
2021,Domestic freight,Sky roads,1848182
2011,Domestic freight,Shipping,125588
2012,Domestic freight,Shipping,119057
2013,Domestic freight,Shipping,117860
2014,Domestic freight,Shipping,117920
2015,Domestic freight,Shipping,128611
2016,Domestic freight,Shipping,143227
2017,Domestic freight,Shipping,142587
2018,Domestic freight,Shipping,120327
2019,Domestic freight,Shipping,107408
2020,Domestic freight,Shipping,111513
2021,Domestic freight,Shipping,115125
2011,Domestic freight,Air transport,281
2012,Domestic freight,Air transport,265
2013,Domestic freight,Air transport,253
2014,Domestic freight,Air transport,283
2015,Domestic freight,Air transport,288
2016,Domestic freight,Air transport,293
2017,Domestic freight,Air transport,290
2018,Domestic freight,Air transport,273
2019,Domestic freight,Air transport,259
2020,Domestic freight,Air transport,182
2021,Domestic freight,Air transport,205
2011,International freight,Shipping,1069566
2012,International freight,Shipping,1108538
2013,International freight,Shipping,1123205
2014,International freight,Shipping,1184641
2015,International freight,Shipping,1216782
2016,International freight,Shipping,1242597
2017,International freight,Shipping,1312489
2018,International freight,Shipping,1405925
2019,International freight,Shipping,1429150
2020,International freight,Shipping,1276228
2021,International freight,Shipping,1352575
2011,International freight,Air transport,3238
2012,International freight,Air transport,3209
2013,International freight,Air transport,3246
2014,International freight,Air transport,3411
2015,International freight,Air transport,3519
2016,International freight,Air transport,3781
2017,International freight,Air transport,4032
2018,International freight,Air transport,4169
2019,International freight,Air transport,4016
2020,International freight,Air transport,3071
2021,International freight,Air transport,3420
