Year,Units,Value
2005,Dead or Missing Person,0.10999
2006,Dead or Missing Person,0.14383
2007,Dead or Missing Person,0.04865
2008,Dead or Missing Person,0.13748
2009,Dead or Missing Person,0.50128
2010,Dead or Missing Person,0.20379
2011,Dead or Missing Person,0.16673
2012,Dead or Missing Person,0.04323
2013,Dead or Missing Person,0.03294
2014,Dead or Missing Person,0.85014
2015,Dead or Missing Person,0.13119
2016,Dead or Missing Person,0.05071
2017,Dead or Missing Person,0.14002
2018,Dead or Missing Person,0.28278
2019,Dead or Missing Person,0.21437
2020,Dead or Missing Person,0.20896
2005,Directly affected Person,31.14532
2006,Directly affected Person,55.66729
2007,Directly affected Person,36.94187
2008,Directly affected Person,11.2946
2009,Directly affected Person,1528.4374
2010,Directly affected Person,308.97818
2011,Directly affected Person,170.62742
2012,Directly affected Person,52.03314
2013,Directly affected Person,10.40311
2014,Directly affected Person,21.83325
2015,Directly affected Person,1.05543
2016,Directly affected Person,17.80979
2017,Directly affected Person,42.9559
2018,Directly affected Person,25.5629
2019,Directly affected Person,17.75809
2020,Directly affected Person,254.1756
