Year,Reasons,Value
2019,① Sex,13.9
2019,data.02_Marital_status_such_as_being_pregnant/with_or_without_children,2.6
2019,data.03_Religion,2.2
2019,data.04_Political_opinion,4.1
2019,data.05_Disability,1.7
2019,data.06_Age,13.6
2019,data.07_Socio-Eoconomic_status,10.3
2019,data.08_Forms_of_employment,7.8
2019,data.09_Educational_background,7.7
2019,data.10_Ethnicity/Colour/Language/Migration_status,1.4
2019,data.11_Physical_condition,6.6
2019,data.12_Marital status_such_as_being_single/married/divorced/widowed,3.3
2019,data.13_Marital_status_such_as_being_orphan/born_from_unmarried_parents,1.2
2019,data.14_Health_status,2.3
2019,data.15_Geographic_location_or_Place_of_residence,2.7
2020,① Sex,11.8
2020,data.02_Marital_status_such_as_being_pregnant/with_or_without_children,2.1
2020,data.03_Religion,2.5
2020,data.04_Political_opinion,6.8
2020,data.05_Disability,2.0
2020,data.06_Age,12.9
2020,data.07_Socio-Eoconomic_status,13.0
2020,data.08_Forms_of_employment,11.0
2020,data.09_Educational_background,8.7
2020,data.10_Ethnicity/Colour/Language/Migration_status,1.6
2020,data.11_Physical_condition,5.7
2020,data.12_Marital status_such_as_being_single/married/divorced/widowed,4.0
2020,data.13_Marital_status_such_as_being_orphan/born_from_unmarried_parents,2.2
2020,data.14_Health_status,2.7
2020,data.15_Geographic_location_or_Place_of_residence,3.0
2020,① Sex,7.6
2020,data.02_Marital_status_such_as_being_pregnant/with_or_without_children,1.6
2020,data.03_Religion,1.4
2020,data.04_Political_opinion,2.6
2020,data.05_Disability,1.4
2020,data.06_Age,7.5
2020,data.07_Socio-Eoconomic_status,6.2
2020,data.08_Forms_of_employment,5.4
2020,data.09_Educational_background,4.2
2020,data.10_Ethnicity/Colour/Language/Migration_status,1.0
2020,data.11_Physical_condition,3.0
2020,data.12_Marital status_such_as_being_single/married/divorced/widowed,1.8
2020,data.13_Marital_status_such_as_being_orphan/born_from_unmarried_parents,1.2
2020,data.14_Health_status,1.4
2020,data.15_Geographic_location_or_Place_of_residence,1.8
