Year,Units,Name of international institution,Value
2000,Proportion of members of developing countries in international organizations,ADB,1.6949
2000,Proportion of members of developing countries in international organizations,AFDB,1.2987
2000,Proportion of members of developing countries in international organizations,IABD,0.0
2000,Proportion of members of developing countries in international organizations,IBRD,0.54945
2000,Proportion of members of developing countries in international organizations,IFC,0.57471
2000,Proportion of members of developing countries in international organizations,IMF,0.5618
2000,Proportion of members of developing countries in international organizations,UNGA,0.5291
2000,Proportion of members of developing countries in international organizations,WTO,0.71429
2000,Proportion of members of developing countries in international organizations,ADB,1.6949
2000,Proportion of members of developing countries in international organizations,AFDB,1.2987
2000,Proportion of members of developing countries in international organizations,IABD,0.0
2000,Proportion of members of developing countries in international organizations,IBRD,0.54945
2000,Proportion of members of developing countries in international organizations,IFC,0.57471
2000,Proportion of members of developing countries in international organizations,IMF,0.5618
2000,Proportion of members of developing countries in international organizations,UNGA,0.5291
2000,Proportion of members of developing countries in international organizations,WTO,0.71429
2005,Proportion of members of developing countries in international organizations,ADB,1.5625
2005,Proportion of members of developing countries in international organizations,AFDB,1.2987
2005,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2005,Proportion of members of developing countries in international organizations,IABD,2.12766
2005,Proportion of members of developing countries in international organizations,IBRD,0.54348
2005,Proportion of members of developing countries in international organizations,IFC,0.5618
2005,Proportion of members of developing countries in international organizations,IMF,0.55249
2005,Proportion of members of developing countries in international organizations,UNGA,0.52356
2005,Proportion of members of developing countries in international organizations,WTO,0.67114
2005,Proportion of members of developing countries in international organizations,ADB,1.5625
2005,Proportion of members of developing countries in international organizations,AFDB,1.2987
2005,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2005,Proportion of members of developing countries in international organizations,IABD,2.12766
2005,Proportion of members of developing countries in international organizations,IBRD,0.54348
2005,Proportion of members of developing countries in international organizations,IFC,0.5618
2005,Proportion of members of developing countries in international organizations,IMF,0.55249
2005,Proportion of members of developing countries in international organizations,UNGA,0.52356
2005,Proportion of members of developing countries in international organizations,WTO,0.67114
2010,Proportion of members of developing countries in international organizations,ADB,1.4925
2010,Proportion of members of developing countries in international organizations,AFDB,1.2987
2010,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2010,Proportion of members of developing countries in international organizations,FSB,4.16667
2010,Proportion of members of developing countries in international organizations,IABD,2.08333
2010,Proportion of members of developing countries in international organizations,IBRD,0.53476
2010,Proportion of members of developing countries in international organizations,IFC,0.54945
2010,Proportion of members of developing countries in international organizations,IMF,0.54945
2010,Proportion of members of developing countries in international organizations,UNGA,0.52083
2010,Proportion of members of developing countries in international organizations,WTO,0.65359
2010,Proportion of members of developing countries in international organizations,ADB,1.4925
2010,Proportion of members of developing countries in international organizations,AFDB,1.2987
2010,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2010,Proportion of members of developing countries in international organizations,FSB,4.16667
2010,Proportion of members of developing countries in international organizations,IABD,2.08333
2010,Proportion of members of developing countries in international organizations,IBRD,0.53476
2010,Proportion of members of developing countries in international organizations,IFC,0.54945
2010,Proportion of members of developing countries in international organizations,IMF,0.54945
2010,Proportion of members of developing countries in international organizations,UNGA,0.52083
2010,Proportion of members of developing countries in international organizations,WTO,0.65359
2014,Proportion of members of developing countries in international organizations,AFDB,1.26582
2014,Proportion of members of developing countries in international organizations,AFDB,1.26582
2015,Proportion of members of developing countries in international organizations,ADB,1.4925
2015,Proportion of members of developing countries in international organizations,AFDB,1.25
2015,Proportion of members of developing countries in international organizations,FSB,4.16667
2015,Proportion of members of developing countries in international organizations,IABD,2.08333
2015,Proportion of members of developing countries in international organizations,IBRD,0.53191
2015,Proportion of members of developing countries in international organizations,IFC,0.54348
2015,Proportion of members of developing countries in international organizations,IMF,0.53191
2015,Proportion of members of developing countries in international organizations,UNGA,0.51813
2015,Proportion of members of developing countries in international organizations,WTO,0.625
2015,Proportion of members of developing countries in international organizations,ADB,1.4925
2015,Proportion of members of developing countries in international organizations,AFDB,1.25
2015,Proportion of members of developing countries in international organizations,FSB,4.16667
2015,Proportion of members of developing countries in international organizations,IABD,2.08333
2015,Proportion of members of developing countries in international organizations,IBRD,0.53191
2015,Proportion of members of developing countries in international organizations,IFC,0.54348
2015,Proportion of members of developing countries in international organizations,IMF,0.53191
2015,Proportion of members of developing countries in international organizations,UNGA,0.51813
2015,Proportion of members of developing countries in international organizations,WTO,0.625
2016,Proportion of members of developing countries in international organizations,ADB,1.4925
2016,Proportion of members of developing countries in international organizations,AFDB,1.25
2016,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2016,Proportion of members of developing countries in international organizations,FSB,4.16667
2016,Proportion of members of developing countries in international organizations,IABD,2.08333
2016,Proportion of members of developing countries in international organizations,IBRD,0.53191
2016,Proportion of members of developing countries in international organizations,IFC,0.54348
2016,Proportion of members of developing countries in international organizations,IMF,0.53191
2016,Proportion of members of developing countries in international organizations,UNGA,0.51813
2016,Proportion of members of developing countries in international organizations,WTO,0.61728
2016,Proportion of members of developing countries in international organizations,ADB,1.4925
2016,Proportion of members of developing countries in international organizations,AFDB,1.25
2016,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2016,Proportion of members of developing countries in international organizations,FSB,4.16667
2016,Proportion of members of developing countries in international organizations,IABD,2.08333
2016,Proportion of members of developing countries in international organizations,IBRD,0.53191
2016,Proportion of members of developing countries in international organizations,IFC,0.54348
2016,Proportion of members of developing countries in international organizations,IMF,0.53191
2016,Proportion of members of developing countries in international organizations,UNGA,0.51813
2016,Proportion of members of developing countries in international organizations,WTO,0.61728
2017,Proportion of members of developing countries in international organizations,ADB,1.4925
2017,Proportion of members of developing countries in international organizations,AFDB,1.25
2017,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2017,Proportion of members of developing countries in international organizations,FSB,4.16667
2017,Proportion of members of developing countries in international organizations,IABD,2.08333
2017,Proportion of members of developing countries in international organizations,IBRD,0.5291
