Year,Category,Value
2013,Refugees request,1574
2014,Refugees request,2896
2015,Refugees request,5711
2016,Refugees request,7541
2017,Refugees request,9942
2018,Refugees request,16173
2019,Refugees request,15451
2013,Refugees recognized,57
2014,Refugees recognized,94
2015,Refugees recognized,105
2016,Refugees recognized,98
2017,Refugees recognized,121
2018,Refugees recognized,144
2019,Refugees recognized,79
2020,Refugees request,6684
2020,Refugees recognized,69
2021,Refugees request,2341
2021,Refugees recognized,72
2022,Refugees request,11539
2022,Refugees recognized,175
