Year,Type of product,Value
2005,Total or no breakdown,28.8659
2010,Total or no breakdown,33.81901
2015,Total or no breakdown,43.8052099999999
2016,Total or no breakdown,43.57564
2017,Total or no breakdown,49.92384
2018,Total or no breakdown,51.03072
2005,Textiles,17.08353
2010,Textiles,25.0712
2015,Textiles,35.9120799999999
2016,Textiles,38.53138
2017,Textiles,46.1589
2018,Textiles,48.35255
2005,Oil,25.0
2010,Oil,75.0
2015,Oil,75.0
2016,Oil,77.77778
2017,Oil,85.71429
2018,Oil,85.71429
2005,Industrial products,30.9853299999999
2010,Industrial products,35.40417
2015,Industrial products,44.93076
2016,Industrial products,44.65119
2017,Industrial products,50.43849
2018,Industrial products,51.36265
2005,Clothing,10.97898
2010,Clothing,17.72596
2015,Clothing,34.99225
2016,Clothing,30.63891
2017,Clothing,43.8917299999999
2018,Clothing,47.2515099999999
2005,Arms,47.0
2010,Arms,47.76119
2015,Arms,53.93258
2016,Arms,56.83453
2017,Arms,66.4335699999999
2018,Arms,66.4335699999999
2005,Agricultural products,30.98314
2010,Agricultural products,32.38063
2015,Agricultural products,42.64644
2016,Agricultural products,41.74925
2017,Agricultural products,50.9475599999999
2018,Agricultural products,51.92232
