Year,data.Category,Value
2005,Dead or Missing Person,0.10999
2005,Dead or Missing Person,30.13204
2006,Dead or Missing Person,0.14383
2006,Dead or Missing Person,54.94476
2007,Dead or Missing Person,0.04865
2007,Dead or Missing Person,37.18728
2008,Dead or Missing Person,0.13748
2008,Dead or Missing Person,11.5899
2009,Dead or Missing Person,0.50128
2009,Dead or Missing Person,35.03071
2010,Dead or Missing Person,0.20379
2010,Dead or Missing Person,316.08343
2011,Dead or Missing Person,0.16673
2011,Dead or Missing Person,180.19194
2012,Directly affected Person,0.04323
2012,Directly affected Person,55.94064
2013,Directly affected Person,0.03294
2013,Directly affected Person,11.37706
2014,Directly affected Person,0.85014
2014,Directly affected Person,24.13977
2015,Directly affected Person,0.13119
2015,Directly affected Person,1.05543
2016,Directly affected Person,0.05071
2016,Directly affected Person,17.80979
2017,Directly affected Person,0.14002
2017,Directly affected Person,42.9559
2018,Directly affected Person,0.28278
2018,Directly affected Person,26.48386
