Year,처리방법별,Value
2011,,10021
2012,,12487
2013,,12407
2014,,13172
2015,,13402
2016,,13783
2017,,14905
2018,,15389
2019,,15556
2011,매립,1875
2012,매립,2874
2013,매립,2370
2014,매립,2531
2015,매립,2668
2016,매립,2910
2017,매립,3255
2018,매립,3115
2019,매립,2835
2011,소각,1819
2012,소각,2037
2013,소각,2123
2014,소각,2103
2015,소각,2180
2016,소각,2315
2017,소각,2252
2018,소각,2272
2019,소각,2261
2011,재활용,5717
2012,재활용,6788
2013,재활용,7331
2014,재활용,7547
2015,재활용,7710
2016,재활용,7714
2017,재활용,8379
2018,재활용,9231
2019,재활용,9719
2011,기타,611
2012,기타,788
2013,기타,583
2014,기타,991
2015,기타,844
2016,기타,844
2017,기타,1019
2018,기타,771
2019,기타,742
