Year,Public Services,Experiences,Satisfaction,Value
2016,Public hearing,Experienced,,1.7
2016,Public hearing,Experienced,1 (Not at all),12.7
2016,Public hearing,Experienced,2 (Not that much),26.7
2016,Public hearing,Experienced,3 (Normal),44.0
2016,Public hearing,Experienced,4 (A little bit),16.2
2016,Public hearing,Experienced,5 (Very satisfactory),0.5
2016,Public hearing,No experienced,,98.3
2016,Participatory budgeting,Experienced,,2.2
2016,Participatory budgeting,Experienced,1 (Not at all),5.4
2016,Participatory budgeting,Experienced,2 (Not that much),12.3
2016,Participatory budgeting,Experienced,3 (Normal),38.3
2016,Participatory budgeting,Experienced,4 (A little bit),40.6
2016,Participatory budgeting,Experienced,5 (Very satisfactory),3.4
2016,Participatory budgeting,No experienced,,97.8
2016,Community center,Experienced,,47.3
2016,Community center,Experienced,1 (Not at all),0.4
2016,Community center,Experienced,2 (Not that much),2.3
2016,Community center,Experienced,3 (Normal),22.6
2016,Community center,Experienced,4 (A little bit),57.3
2016,Community center,Experienced,5 (Very satisfactory),17.3
2016,Community center,No experienced,,52.7
2016,Licensing service,Experienced,,6.1
2016,Licensing service,Experienced,1 (Not at all),3.2
2016,Licensing service,Experienced,2 (Not that much),5.4
2016,Licensing service,Experienced,3 (Normal),42.1
2016,Licensing service,Experienced,4 (A little bit),39.2
2016,Licensing service,Experienced,5 (Very satisfactory),10.1
2016,Licensing service,No experienced,,93.9
2016,Online official documents,Experienced,,24.6
2016,Online official documents,Experienced,1 (Not at all),1.5
2016,Online official documents,Experienced,2 (Not that much),4.2
2016,Online official documents,Experienced,3 (Normal),23.7
2016,Online official documents,Experienced,4 (A little bit),46.0
2016,Online official documents,Experienced,5 (Very satisfactory),24.7
2016,Online official documents,No experienced,,75.4
2016,Tax affair service,Experienced,,17.0
2016,Tax affair service,Experienced,1 (Not at all),2.8
2016,Tax affair service,Experienced,2 (Not that much),6.1
2016,Tax affair service,Experienced,3 (Normal),31.4
2016,Tax affair service,Experienced,4 (A little bit),49.5
2016,Tax affair service,Experienced,5 (Very satisfactory),10.2
2016,Tax affair service,No experienced,,83.0
2016,Police service,Experienced,,7.7
2016,Police service,Experienced,1 (Not at all),6.8
2016,Police service,Experienced,2 (Not that much),12.8
2016,Police service,Experienced,3 (Normal),32.9
2016,Police service,Experienced,4 (A little bit),35.8
2016,Police service,Experienced,5 (Very satisfactory),11.7
2016,Police service,No experienced,,92.3
2017,Public hearing,Experienced,,1.5
