Year,Category,Sex,Age,Value
2013,,,,3.1
2013,Urban,,,3.1
2013,Rural,,,3.2
2013,,Male,,3.1
2013,,Female,,3.1
2013,,,19~29,3.0
2013,,,30~39,3.1
2013,,,40~49,3.1
2013,,,50~59,3.1
2013,,,60~69,3.3
2014,,,,3.3
2014,Urban,,,3.2
2014,Rural,,,3.3
2014,,Male,,3.2
2014,,Female,,3.3
2014,,,19~29,3.2
2014,,,30~39,3.2
2014,,,40~49,3.2
2014,,,50~59,3.4
2014,,,60~69,3.5
2015,,,,3.2
2015,Urban,,,3.3
2015,Rural,,,3.2
2015,,Male,,3.2
2015,,Female,,3.3
2015,,,19~29,3.2
2015,,,30~39,3.3
2015,,,40~49,3.2
2015,,,50~59,3.2
2015,,,60~69,3.4
2016,,,,3.3
2016,Urban,,,3.3
2016,Rural,,,3.4
2016,,Male,,3.3
2016,,Female,,3.4
2016,,,19~29,3.4
2016,,,30~39,3.3
2016,,,40~49,3.3
2016,,,50~59,3.4
2016,,,60~69,3.4
2017,,,,3.2
2017,Urban,,,3.2
2017,Rural,,,3.3
2017,,Male,,3.2
2017,,Female,,3.2
2017,,,19~29,3.2
2017,,,30~39,3.2
2017,,,40~49,3.2
2017,,,50~59,3.3
2017,,,60~69,3.3
2018,,,,3.2
2018,Urban,,,3.2
2018,Rural,,,3.2
2018,,Male,,3.2
2018,,Female,,3.3
2018,,,19~29,3.2
2018,,,30~39,3.1
2018,,,40~49,3.2
2018,,,50~59,3.3
2018,,,60~69,3.4
2019,,,,3.1
2019,Urban,,,3.1
2019,Rural,,,3.2
2019,,Male,,3.1
2019,,Female,,3.1
2019,,,19~29,3.1
2019,,,30~39,3.0
2019,,,40~49,3.1
2019,,,50~59,3.2
2019,,,60~69,3.2
2020,,,,3.4
2020,Urban,,,3.4
2020,Rural,,,3.3
2020,,Male,,3.3
2020,,Female,,3.4
2020,,,19~29,3.4
2020,,,30~39,3.3
2020,,,40~49,3.3
2020,,,50~59,3.4
2020,,,60~,3.5
2021,,,,3.3
2021,Urban,,,3.3
2021,Rural,,,3.2
2021,,Male,,3.2
2021,,Female,,3.3
2021,,,19~29,3.2
2021,,,30~39,3.2
2021,,,40~49,3.1
2021,,,50~59,3.2
2021,,,60~,3.4
