Year,Category,Name of international institution,Value
2000,data.Proportion_of_members_of_developing_countries(%),ADB,1.69492
2000,data.Proportion_of_members_of_developing_countries(%),AFDB,1.2987
2000,data.Proportion_of_members_of_developing_countries(%),IABD,0.0
2000,data.Proportion_of_members_of_developing_countries(%),IBRD,0.54945
2000,data.Proportion_of_members_of_developing_countries(%),IFC,0.57471
2000,data.Proportion_of_members_of_developing_countries(%),IMF,0.5618
2000,data.Proportion_of_members_of_developing_countries(%),UNGA,0.5291
2000,data.Proportion_of_members_of_developing_countries(%),WTO,0.71429
2005,data.Proportion_of_members_of_developing_countries(%),ADB,1.5625
2005,data.Proportion_of_members_of_developing_countries(%),AFDB,1.2987
2005,data.Proportion_of_members_of_developing_countries(%),ECOSOC,1.85185
2005,data.Proportion_of_members_of_developing_countries(%),IABD,2.12766
2005,data.Proportion_of_members_of_developing_countries(%),IBRD,0.54348
2005,data.Proportion_of_members_of_developing_countries(%),IFC,0.5618
2005,data.Proportion_of_members_of_developing_countries(%),IMF,0.55249
2005,data.Proportion_of_members_of_developing_countries(%),UNGA,0.52356
2005,data.Proportion_of_members_of_developing_countries(%),WTO,0.67114
2010,data.Proportion_of_members_of_developing_countries(%),ADB,1.49254
2010,data.Proportion_of_members_of_developing_countries(%),AFDB,1.2987
2010,data.Proportion_of_members_of_developing_countries(%),ECOSOC,1.85185
2010,data.Proportion_of_members_of_developing_countries(%),FSB,4.16667
2010,data.Proportion_of_members_of_developing_countries(%),IABD,2.08333
2010,data.Proportion_of_members_of_developing_countries(%),IBRD,0.53476
2010,data.Proportion_of_members_of_developing_countries(%),IFC,0.54945
2010,data.Proportion_of_members_of_developing_countries(%),IMF,0.54945
2010,data.Proportion_of_members_of_developing_countries(%),UNGA,0.52083
2010,data.Proportion_of_members_of_developing_countries(%),WTO,0.65359
2014,data.Proportion_of_members_of_developing_countries(%),AFDB,1.26582
2015,data.Proportion_of_members_of_developing_countries(%),ADB,1.49254
2015,data.Proportion_of_members_of_developing_countries(%),AFDB,1.25
2015,data.Proportion_of_members_of_developing_countries(%),FSB,4.16667
2015,data.Proportion_of_members_of_developing_countries(%),IABD,2.08333
2015,data.Proportion_of_members_of_developing_countries(%),IBRD,0.53191
2015,data.Proportion_of_members_of_developing_countries(%),IFC,0.54348
2015,data.Proportion_of_members_of_developing_countries(%),IMF,0.53191
2015,data.Proportion_of_members_of_developing_countries(%),UNGA,0.51813
2015,data.Proportion_of_members_of_developing_countries(%),WTO,0.625
2016,data.Proportion_of_members_of_developing_countries(%),ADB,1.493
2016,data.Proportion_of_members_of_developing_countries(%),AFDB,1.25
2016,data.Proportion_of_members_of_developing_countries(%),ECOSOC,1.85185
2016,data.Proportion_of_members_of_developing_countries(%),FSB,4.16667
2016,data.Proportion_of_members_of_developing_countries(%),IABD,2.08333
2016,data.Proportion_of_members_of_developing_countries(%),IBRD,0.53191
2016,data.Proportion_of_members_of_developing_countries(%),IFC,0.54348
2016,data.Proportion_of_members_of_developing_countries(%),IMF,0.53191
2016,data.Proportion_of_members_of_developing_countries(%),UNGA,0.51813
2016,data.Proportion_of_members_of_developing_countries(%),WTO,0.61728
2017,data.Proportion_of_members_of_developing_countries(%),ADB,1.493
2017,data.Proportion_of_members_of_developing_countries(%),AFDB,1.25
2017,data.Proportion_of_members_of_developing_countries(%),ECOSOC,1.85185
2017,data.Proportion_of_members_of_developing_countries(%),FSB,4.16667
2017,data.Proportion_of_members_of_developing_countries(%),IABD,2.08333
2017,data.Proportion_of_members_of_developing_countries(%),IBRD,0.5291
2017,data.Proportion_of_members_of_developing_countries(%),IFC,0.54348
2017,data.Proportion_of_members_of_developing_countries(%),IMF,0.5291
2017,data.Proportion_of_members_of_developing_countries(%),UNGA,0.51813
2017,data.Proportion_of_members_of_developing_countries(%),WTO,0.60976
2018,data.Proportion_of_members_of_developing_countries(%),ECOSOC,1.85185
2018,data.Proportion_of_members_of_developing_countries(%),FSB,4.16667
2018,data.Proportion_of_members_of_developing_countries(%),IBRD,0.5291
2018,data.Proportion_of_members_of_developing_countries(%),IFC,0.54348
2018,data.Proportion_of_members_of_developing_countries(%),IMF,0.5291
