Year,Cultivation size,Value
2003,,10572
2003,① 0~0.5 ha,2211
2003,② 0.5~1.0 ha,4154
2003,③ 1.0~1.5 ha,9312
2003,④ 1.5~2.0 ha,12899
2003,⑤ 2.0~3.0 ha,15224
2003,⑥ 3.0~5.0 ha,16324
2003,⑦ 5.0~7.0 ha,20405
2003,⑧ 7.0~10.0 ha,34633
2003,⑨ 10.0 ha~,35376
2004,,12050
2004,① 0~0.5 ha,3633
2004,② 0.5~1.0 ha,6318
2004,③ 1.0~1.5 ha,8817
2004,④ 1.5~2.0 ha,12336
2004,⑤ 2.0~3.0 ha,17398
2004,⑥ 3.0~5.0 ha,19798
2004,⑦ 5.0~7.0 ha,23025
2004,⑧ 7.0~10.0 ha,35639
2004,⑨ 10.0 ha~,44490
2005,,11815
2005,① 0~0.5 ha,3634
2005,② 0.5~1.0 ha,6062
2005,③ 1.0~1.5 ha,9706
2005,④ 1.5~2.0 ha,13581
2005,⑤ 2.0~3.0 ha,16627
2005,⑥ 3.0~5.0 ha,19610
2005,⑦ 5.0~7.0 ha,22303
2005,⑧ 7.0~10.0 ha,30201
2005,⑨ 10.0 ha~,28354
2006,,12092
2006,① 0~0.5 ha,3374
2006,② 0.5~1.0 ha,5167
2006,③ 1.0~1.5 ha,10202
2006,④ 1.5~2.0 ha,13737
2006,⑤ 2.0~3.0 ha,17406
2006,⑥ 3.0~5.0 ha,22086
2006,⑦ 5.0~7.0 ha,19927
2006,⑧ 7.0~10.0 ha,28237
2006,⑨ 10.0 ha~,40310
2007,,10406
2007,① 0~0.5 ha,2385
2007,② 0.5~1.0 ha,5692
2007,③ 1.0~1.5 ha,8510
2007,④ 1.5~2.0 ha,11864
2007,⑤ 2.0~3.0 ha,13362
2007,⑥ 3.0~5.0 ha,19185
2007,⑦ 5.0~7.0 ha,22851
2007,⑧ 7.0~10.0 ha,20671
2007,⑨ 10.0 ha~,34601
2008,,9654
2008,① 0~0.5 ha,2396
2008,② 0.5~1.0 ha,5209
2008,③ 1.0~1.5 ha,8351
2008,④ 1.5~2.0 ha,11858
2008,⑤ 2.0~3.0 ha,15370
2008,⑥ 3.0~5.0 ha,18144
2008,⑦ 5.0~7.0 ha,19439
2008,⑧ 7.0~10.0 ha,42839
2008,⑨ 10.0 ha~,23526
2009,,17008
2009,① 0~0.5 ha,1972
2009,② 0.5~1.0 ha,6675
2009,③ 1.0~1.5 ha,8760
2009,④ 1.5~2.0 ha,12471
2009,⑤ 2.0~3.0 ha,14750
2009,⑥ 3.0~5.0 ha,17224
2009,⑦ 5.0~7.0 ha,17619
2009,⑧ 7.0~10.0 ha,31687
2009,⑨ 10.0 ha~,41910
2010,,10098
2010,① 0~0.5 ha,2531
2010,② 0.5~1.0 ha,8215
2010,③ 1.0~1.5 ha,9689
2010,④ 1.5~2.0 ha,9728
2010,⑤ 2.0~3.0 ha,11936
2010,⑥ 3.0~5.0 ha,20049
2010,⑦ 5.0~7.0 ha,20265
2010,⑧ 7.0~10.0 ha,37435
2010,⑨ 10.0 ha~,42964
2011,,8753
2011,① 0~0.5 ha,2098
2011,② 0.5~1.0 ha,4470
2011,③ 1.0~1.5 ha,10538
2011,④ 1.5~2.0 ha,10404
2011,⑤ 2.0~3.0 ha,12650
2011,⑥ 3.0~5.0 ha,15357
2011,⑦ 5.0~7.0 ha,11256
2011,⑧ 7.0~10.0 ha,40041
2011,⑨ 10.0 ha~,45944
2012,,9127
2012,① 0~0.5 ha,1469
2012,② 0.5~1.0 ha,4725
2012,③ 1.0~1.5 ha,10828
2012,④ 1.5~2.0 ha,10448
2012,⑤ 2.0~3.0 ha,12382
2012,⑥ 3.0~5.0 ha,18745
2012,⑦ 5.0~7.0 ha,21418
2012,⑧ 7.0~10.0 ha,41390
2012,⑨ 10.0 ha~,32198
2013,,10035
2013,① 0~0.5 ha,2110
2013,② 0.5~1.0 ha,4680
2013,③ 1.0~1.5 ha,12244
2013,④ 1.5~2.0 ha,17865
2013,⑤ 2.0~3.0 ha,16373
2013,⑥ 3.0~5.0 ha,20095
2013,⑦ 5.0~7.0 ha,28628
2013,⑧ 7.0~10.0 ha,21406
2013,⑨ 10.0 ha~,28840
2014,,10303
2014,① 0~0.5 ha,2562
2014,② 0.5~1.0 ha,6435
2014,③ 1.0~1.5 ha,13035
2014,④ 1.5~2.0 ha,13588
2014,⑤ 2.0~3.0 ha,14497
2014,⑥ 3.0~5.0 ha,20302
2014,⑦ 5.0~7.0 ha,27697
2014,⑧ 7.0~10.0 ha,33262
2014,⑨ 10.0 ha~,32508
2015,,11257
2015,① 0~0.5 ha,3034
2015,② 0.5~1.0 ha,7280
2015,③ 1.0~1.5 ha,9494
2015,④ 1.5~2.0 ha,13794
2015,⑤ 2.0~3.0 ha,20183
2015,⑥ 3.0~5.0 ha,22052
2015,⑦ 5.0~7.0 ha,35205
2015,⑧ 7.0~10.0 ha,43525
2015,⑨ 10.0 ha~,42949
2016,,10068
2016,① 0~0.5 ha,2352
2016,② 0.5~1.0 ha,6443
2016,③ 1.0~1.5 ha,11396
2016,④ 1.5~2.0 ha,10331
2016,⑤ 2.0~3.0 ha,18458
2016,⑥ 3.0~5.0 ha,23599
2016,⑦ 5.0~7.0 ha,24814
2016,⑧ 7.0~10.0 ha,43572
2016,⑨ 10.0 ha~,36982
2017,,10047
2017,① 0~0.5 ha,1367
2017,② 0.5~1.0 ha,6493
2017,③ 1.0~1.5 ha,11247
2017,④ 1.5~2.0 ha,11365
2017,⑤ 2.0~3.0 ha,16405
2017,⑥ 3.0~5.0 ha,24640
2017,⑦ 5.0~7.0 ha,32908
2017,⑧ 7.0~10.0 ha,50481
2017,⑨ 10.0 ha~,45535
2018,,12920
2018,① 0~0.5 ha,2994
2018,② 0.5~1.0 ha,7061
2018,③ 1.0~1.5 ha,10820
2018,④ 1.5~2.0 ha,20258
2018,⑤ 2.0~3.0 ha,24499
2018,⑥ 3.0~5.0 ha,36134
2018,⑦ 5.0~7.0 ha,34206
2018,⑧ 7.0~10.0 ha,52235
2018,⑨ 10.0 ha~,86648
2019,,10261
2019,① 0~0.5 ha,2022
2019,② 0.5~1.0 ha,5574
2019,③ 1.0~1.5 ha,9450
2019,④ 1.5~2.0 ha,14928
2019,⑤ 2.0~3.0 ha,19354
2019,⑥ 3.0~5.0 ha,23335
2019,⑦ 5.0~7.0 ha,37016
2019,⑧ 7.0~10.0 ha,34741
2019,⑨ 10.0 ha~,65494
2020,,11820
2020,① 0~0.5 ha,2136
2020,② 0.5~1.0 ha,6722
2020,③ 1.0~1.5 ha,11991
2020,④ 1.5~2.0 ha,17225
2020,⑤ 2.0~3.0 ha,20712
2020,⑥ 3.0~5.0 ha,29350
2020,⑦ 5.0~7.0 ha,37707
2020,⑧ 7.0~10.0 ha,38676
2020,⑨ 10.0 ha~,57790
