Year,data.Diseases,Value
2001,,7
2001,data.Leprosy,0
2001,data.Rabies,1
2001,data.Dengue,6
2002,,10
2002,data.Leprosy,0
2002,data.Rabies,1
2002,data.Dengue,9
2003,,16
2003,data.Leprosy,0
2003,data.Rabies,2
2003,data.Dengue,14
2004,,17
2004,data.Leprosy,0
2004,data.Rabies,1
2004,data.Dengue,16
2005,,34
2005,data.Leprosy,0
2005,data.Rabies,0
2005,data.Dengue,34
2006,,35
2006,data.Leprosy,0
2006,data.Rabies,0
2006,data.Dengue,35
2007,,97
2007,data.Leprosy,0
2007,data.Rabies,0
2007,data.Dengue,97
2008,,51
2008,data.Leprosy,0
2008,data.Rabies,0
2008,data.Dengue,51
2009,,59
2009,data.Leprosy,0
2009,data.Rabies,0
2009,data.Dengue,59
2010,,125
2010,data.Leprosy,0
2010,data.Rabies,0
2010,data.Dengue,125
2011,,79
2011,data.Leprosy,7
2011,data.Rabies,0
2011,data.Dengue,72
2012,,154
2012,data.Leprosy,5
2012,data.Rabies,0
2012,data.Dengue,149
2013,,259
2013,data.Leprosy,7
2013,data.Rabies,0
2013,data.Dengue,252
2014,,171
2014,data.Leprosy,6
2014,data.Rabies,0
2014,data.Dengue,165
2015,,257
2015,data.Leprosy,2
2015,data.Rabies,0
2015,data.Dengue,255
2016,,317
2016,data.Leprosy,4
2016,data.Rabies,0
2016,data.Dengue,313
2017,,174
2017,data.Leprosy,3
2017,data.Rabies,0
2017,data.Dengue,171
2018,,165
2018,data.Leprosy,6
2018,data.Rabies,0
2018,data.Dengue,159
2019,,277
2019,data.Leprosy,4
2019,data.Rabies,0
2019,data.Dengue,273
2020,,45
2020,data.Leprosy,3
2020,data.Rabies,0
2020,data.Dengue,42
