Year,Cause of death,Sex,Value
2000,Cancer,,13.7
2000,Cancer,Male,15.0
2000,Cancer,Female,12.4
2000,Diabetes,,22.7
2000,Diabetes,Male,22.6
2000,Diabetes,Female,22.8
2000,Cardiovascular diseases,,0.3
2000,Cardiovascular diseases,Male,0.2
2000,Cardiovascular diseases,Female,0.5
2000,Chronic respiratory diseases,,34.0
2000,Chronic respiratory diseases,Male,38.7
2000,Chronic respiratory diseases,Female,29.3
2001,Cancer,,14.4
2001,Cancer,Male,15.7
2001,Cancer,Female,13.0
2001,Diabetes,,23.9
2001,Diabetes,Male,23.6
2001,Diabetes,Female,24.3
2001,Cardiovascular diseases,,0.3
2001,Cardiovascular diseases,Male,0.2
2001,Cardiovascular diseases,Female,0.5
2001,Chronic respiratory diseases,,32.9
2001,Chronic respiratory diseases,Male,37.8
2001,Chronic respiratory diseases,Female,27.9
2002,Cancer,,14.9
2002,Cancer,Male,15.7
2002,Cancer,Female,14.0
2002,Diabetes,,25.2
2002,Diabetes,Male,24.4
2002,Diabetes,Female,26.1
2002,Cardiovascular diseases,,0.6
2002,Cardiovascular diseases,Male,0.5
2002,Cardiovascular diseases,Female,0.7
2002,Chronic respiratory diseases,,34.7
2002,Chronic respiratory diseases,Male,38.7
2002,Chronic respiratory diseases,Female,30.6
2003,Cancer,,15.1
2003,Cancer,Male,16.1
2003,Cancer,Female,14.0
2003,Diabetes,,25.2
2003,Diabetes,Male,24.9
2003,Diabetes,Female,25.4
2003,Cardiovascular diseases,,0.7
2003,Cardiovascular diseases,Male,0.5
2003,Cardiovascular diseases,Female,0.8
2003,Chronic respiratory diseases,,30.1
2003,Chronic respiratory diseases,Male,34.2
2003,Chronic respiratory diseases,Female,26.0
2004,Cancer,,15.3
2004,Cancer,Male,16.7
2004,Cancer,Female,13.9
2004,Diabetes,,24.4
2004,Diabetes,Male,24.2
2004,Diabetes,Female,24.6
2004,Cardiovascular diseases,,0.6
2004,Cardiovascular diseases,Male,0.5
2004,Cardiovascular diseases,Female,0.7
2004,Chronic respiratory diseases,,29.5
2004,Chronic respiratory diseases,Male,35.8
2004,Chronic respiratory diseases,Female,23.2
2005,Cancer,,15.0
2005,Cancer,Male,16.2
2005,Cancer,Female,13.9
2005,Diabetes,,24.3
2005,Diabetes,Male,24.5
2005,Diabetes,Female,24.2
2005,Cardiovascular diseases,,0.6
2005,Cardiovascular diseases,Male,0.5
2005,Cardiovascular diseases,Female,0.7
2005,Chronic respiratory diseases,,29.4
2005,Chronic respiratory diseases,Male,34.6
2005,Chronic respiratory diseases,Female,24.2
2006,Cancer,,15.2
2006,Cancer,Male,16.4
2006,Cancer,Female,13.9
2006,Diabetes,,23.8
2006,Diabetes,Male,23.8
2006,Diabetes,Female,23.8
2006,Cardiovascular diseases,,0.6
2006,Cardiovascular diseases,Male,0.4
2006,Cardiovascular diseases,Female,0.7
2006,Chronic respiratory diseases,,29.3
2006,Chronic respiratory diseases,Male,34.6
2006,Chronic respiratory diseases,Female,24.0
2007,Cancer,,16.4
2007,Cancer,Male,17.6
2007,Cancer,Female,15.1
2007,Diabetes,,23.1
2007,Diabetes,Male,23.2
2007,Diabetes,Female,22.9
2007,Cardiovascular diseases,,0.5
2007,Cardiovascular diseases,Male,0.3
2007,Cardiovascular diseases,Female,0.7
2007,Chronic respiratory diseases,,30.5
2007,Chronic respiratory diseases,Male,35.4
