Year,Alcohol,Value
2005,,9.787
2005,① Takju,0.324
2005,② Yakju,0.138
2005,③ Cheongju,0.098
2005,④ Beer,2.049
2005,⑤ Wine,0.132
2005,⑥ Distilled soju,0.004
2005,⑦ Diluted soju,6.476
2005,⑧ Whiskey,0.365
2005,⑨ Brandy,0.015
2005,⑩ Sprits,0.103
2005,⑪ Liquor,0.064
2005,⑫ Others,0.019
2006,,9.977
2006,① Takju,0.328
2006,② Yakju,0.131
2006,③ Cheongju,0.091
2006,④ Beer,2.095
2006,⑤ Wine,0.15
2006,⑥ Distilled soju,0.005
2006,⑦ Diluted soju,6.61
2006,⑧ Whiskey,0.35
2006,⑨ Brandy,0.019
2006,⑩ Sprits,0.103
2006,⑪ Liquor,0.07
2006,⑫ Others,0.024
2007,,10.07
2007,① Takju,0.328
2007,② Yakju,0.1
2007,③ Cheongju,0.088
2007,④ Beer,2.181
2007,⑤ Wine,0.201
2007,⑥ Distilled soju,0.006
2007,⑦ Diluted soju,6.56
2007,⑧ Whiskey,0.381
2007,⑨ Brandy,0.021
2007,⑩ Sprits,0.113
2007,⑪ Liquor,0.065
2007,⑫ Others,0.027
2008,,10.225
2008,① Takju,0.331
2008,② Yakju,0.081
2008,③ Cheongju,0.083
2008,④ Beer,2.232
2008,⑤ Wine,0.182
2008,⑥ Distilled soju,0.006
2008,⑦ Diluted soju,6.745
2008,⑧ Whiskey,0.336
2008,⑨ Brandy,0.017
2008,⑩ Sprits,0.113
2008,⑪ Liquor,0.069
2008,⑫ Others,0.03
2009,,9.631
2009,① Takju,0.484
2009,② Yakju,0.065
2009,③ Cheongju,0.088
2009,④ Beer,2.146
2009,⑤ Wine,0.147
2009,⑥ Distilled soju,0.008
2009,⑦ Diluted soju,6.178
2009,⑧ Whiskey,0.276
2009,⑨ Brandy,0.015
2009,⑩ Sprits,0.144
2009,⑪ Liquor,0.052
2009,⑫ Others,0.027
2010,,9.715
2010,① Takju,0.757
2010,② Yakju,0.055
2010,③ Cheongju,0.089
2010,④ Beer,2.075
2010,⑤ Wine,0.149
2010,⑥ Distilled soju,0.007
2010,⑦ Diluted soju,6.113
2010,⑧ Whiskey,0.278
2010,⑨ Brandy,0.014
2010,⑩ Sprits,0.099
2010,⑪ Liquor,0.045
2010,⑫ Others,0.035
2011,,9.652
2011,① Takju,0.829
2011,② Yakju,0.054
2011,③ Cheongju,0.092
2011,④ Beer,2.112
2011,⑤ Wine,0.145
2011,⑥ Distilled soju,0.007
2011,⑦ Diluted soju,5.977
2011,⑧ Whiskey,0.244
2011,⑨ Brandy,0.012
2011,⑩ Sprits,0.109
2011,⑪ Liquor,0.042
2011,⑫ Others,0.028
2012,,9.777
2012,① Takju,0.8
2012,② Yakju,0.047
2012,③ Cheongju,0.097
2012,④ Beer,2.17
2012,⑤ Wine,0.143
2012,⑥ Distilled soju,0.007
2012,⑦ Diluted soju,6.084
2012,⑧ Whiskey,0.211
2012,⑨ Brandy,0.01
2012,⑩ Sprits,0.121
2012,⑪ Liquor,0.059
2012,⑫ Others,0.029
2013,,9.43
2013,① Takju,0.752
2013,② Yakju,0.041
2013,③ Cheongju,0.102
2013,④ Beer,2.196
2013,⑤ Wine,0.159
2013,⑥ Distilled soju,0.007
2013,⑦ Diluted soju,5.726
2013,⑧ Whiskey,0.189
2013,⑨ Brandy,0.009
2013,⑩ Sprits,0.154
2013,⑪ Liquor,0.061
2013,⑫ Others,0.033
2014,,9.65
2014,① Takju,0.75
2014,② Yakju,0.034
2014,③ Cheongju,0.093
2014,④ Beer,2.178
2014,⑤ Wine,0.161
2014,⑥ Distilled soju,0.007
2014,⑦ Diluted soju,5.966
2014,⑧ Whiskey,0.181
2014,⑨ Brandy,0.012
2014,⑩ Sprits,0.168
2014,⑪ Liquor,0.06
2014,⑫ Others,0.04
2015,,9.813
2015,① Takju,0.714
2015,② Yakju,0.031
2015,③ Cheongju,0.087
2015,④ Beer,2.186
2015,⑤ Wine,0.183
2015,⑥ Distilled soju,0.009
2015,⑦ Diluted soju,5.875
2015,⑧ Whiskey,0.173
2015,⑨ Brandy,0.008
2015,⑩ Sprits,0.189
2015,⑪ Liquor,0.313
2015,⑫ Others,0.045
2016,,9.345
2016,① Takju,0.678
2016,② Yakju,0.031
2016,③ Cheongju,0.089
2016,④ Beer,2.15
2016,⑤ Wine,0.165
2016,⑥ Distilled soju,0.011
2016,⑦ Diluted soju,5.665
2016,⑧ Whiskey,0.163
2016,⑨ Brandy,0.007
2016,⑩ Sprits,0.15
2016,⑪ Liquor,0.16
2016,⑫ Others,0.076
2017,,9.27
2017,① Takju,0.687
2017,② Yakju,0.029
2017,③ Cheongju,0.095
2017,④ Beer,2.079
2017,⑤ Wine,0.149
2017,⑥ Distilled soju,0.016
2017,⑦ Diluted soju,5.682
2017,⑧ Whiskey,0.153
2017,⑨ Brandy,0.006
2017,⑩ Sprits,0.138
2017,⑪ Liquor,0.086
2017,⑫ Others,0.149
2018,,9.043
2018,① Takju,0.668
2018,② Yakju,0.03
2018,③ Cheongju,0.097
2018,④ Beer,2.033
2018,⑤ Wine,0.16
2018,⑥ Distilled soju,0.015
2018,⑦ Diluted soju,5.451
2018,⑧ Whiskey,0.135
2018,⑨ Brandy,0.005
2018,⑩ Sprits,0.134
2018,⑪ Liquor,0.081
2018,⑫ Others,0.235
