Year,Sex,Value
2001,,30.2
2001,Male,61.3
2001,Female,5.3
2005,,28.8
2005,Male,52.3
2005,Female,5.7
2007,,25.0
2007,Male,45.1
2007,Female,5.3
2008,,27.3
2008,Male,47.7
2008,Female,7.3
2009,,26.6
2009,Male,46.7
2009,Female,6.9
2010,,26.9
2010,Male,48.1
2010,Female,6.1
2011,,26.3
2011,Male,46.8
2011,Female,6.5
2012,,25.0
2012,Male,43.3
2012,Female,7.4
2013,,23.2
2013,Male,41.4
2013,Female,5.7
2014,,23.3
2014,Male,42.3
2014,Female,5.1
2015,,21.6
2015,Male,38.3
2015,Female,5.3
2016,,22.6
2016,Male,39.4
2016,Female,6.1
2017,,21.1
2017,Male,37.0
2017,Female,5.2
2018,,21.1
2018,Male,35.8
2018,Female,6.5
