Year,Type of occupation,Value
2010,,295172
2010,Nurse,116071
2010,Doctor,82137
2010,Dentist,20936
2010,Oriental doctor,16156
2010,Pharmacist,32152
2010,Physical therapist,22827
2010,Occupational therapist,2693
2010,Social worker,2200
2011,,304705
2011,Nurse,118771
2011,Doctor,84544
2011,Dentist,21410
2011,Oriental doctor,16826
2011,Pharmacist,33643
2011,Physical therapist,24017
2011,Occupational therapist,3094
2011,Social worker,2400
2012,,310764
2012,Nurse,120491
2012,Doctor,86761
2012,Dentist,21888
2012,Oriental doctor,17353
2012,Pharmacist,32560
2012,Physical therapist,25475
2012,Occupational therapist,3594
2012,Social worker,2642
2013,,332660
2013,Nurse,134748
2013,Doctor,90710
2013,Dentist,22482
2013,Oriental doctor,18199
2013,Pharmacist,32537
2013,Physical therapist,27111
2013,Occupational therapist,3966
2013,Social worker,2907
2014,,351550
2014,Nurse,147210
2014,Doctor,92927
2014,Dentist,22952
2014,Oriental doctor,18767
2014,Pharmacist,32645
2014,Physical therapist,29326
2014,Occupational therapist,4667
2014,Social worker,3056
2015,,368954
2015,Nurse,158247
2015,Doctor,95076
2015,Dentist,23540
2015,Oriental doctor,19246
2015,Pharmacist,33206
2015,Physical therapist,31194
2015,Occupational therapist,5133
2015,Social worker,3312
2016,,398223
2016,Nurse,179989
2016,Doctor,97713
2016,Dentist,24150
2016,Oriental doctor,19737
2016,Pharmacist,33946
2016,Physical therapist,33345
2016,Occupational therapist,5837
2016,Social worker,3506
2016,Midwife,62
2017,,414196
2017,Nurse,185853
2017,Doctor,100241
2017,Dentist,25300
2017,Oriental doctor,20389
2017,Pharmacist,36980
2017,Physical therapist,35587
2017,Occupational therapist,6258
2017,Social worker,3588
2017,Midwife,68
2018,,430795
2018,Nurse,195314
2018,Doctor,102471
2018,Dentist,25792
2018,Oriental doctor,20759
2018,Pharmacist,37837
2018,Physical therapist,38015
2018,Occupational therapist,6807
2018,Social worker,3800
2018,Midwife,75
2019,,459606
2019,Nurse,213904
2019,Doctor,105628
2019,Dentist,26486
2019,Oriental doctor,21630
2019,Pharmacist,38941
2019,Physical therapist,41457
2019,Occupational therapist,7465
2019,Social worker,4095
2019,Midwife,69
2020,,252694
2020,Nurse,224053
2020,Doctor,107976
2020,Dentist,26978
2020,Oriental doctor,22038
2020,Pharmacist,39765
2020,Physical therapist,43735
2020,Occupational therapist,7996
2020,Social worker,4136
2020,Midwife,70
