Year,Grade,Subjects,Sex,Value
2000,Middle school,Mathematics,,92.7714714735394
2000,Middle school,Mathematics,Male,94.19
2000,Middle school,Mathematics,Female,91.01
2000,Middle school,Reading,,94.2475850815324
2000,Middle school,Reading,Male,92.66
2000,Middle school,Reading,Female,96.25
2003,Middle school,Mathematics,,90.4805272880011
2003,Middle school,Mathematics,Male,91.48
2003,Middle school,Mathematics,Female,89.01
2003,Middle school,Reading,,93.2286510258966
2003,Middle school,Reading,Male,91.64
2003,Middle school,Reading,Female,95.56
2006,Middle school,Mathematics,,91.144938397558
2006,Middle school,Mathematics,Male,90.92
2006,Middle school,Mathematics,Female,91.38
2006,Middle school,Reading,,94.2216039225605
2006,Middle school,Reading,Male,91.8
2006,Middle school,Reading,Female,96.71
2009,Middle school,Mathematics,,91.8746374551233
2009,Middle school,Mathematics,Male,90.88
2009,Middle school,Mathematics,Female,92.99
2009,Middle school,Reading,,94.2059831374301
2009,Middle school,Reading,Male,91.19
2009,Middle school,Reading,Female,97.58
2011,data.Elementary_school_Primary,Mathematics,,96.6250624829496
2011,data.Elementary_school_Primary,Mathematics,Male,96.5557553551492
2011,data.Elementary_school_Primary,Mathematics,Female,96.6999404824642
2012,Middle school,Mathematics,,90.8668931490637
2012,Middle school,Mathematics,Male,90.82
2012,Middle school,Mathematics,Female,90.92
2012,Middle school,Reading,,92.3523720149927
2012,Middle school,Reading,Male,89.61
2012,Middle school,Reading,Female,95.5
2015,Middle school,Mathematics,,84.5371147614201
2015,Middle school,Mathematics,Male,82.2459157070967
2015,Middle school,Mathematics,Female,87.0418200647324
2015,Middle school,Reading,,86.3429728462679
2015,Middle school,Reading,Male,80.8356517643625
2015,Middle school,Reading,Female,92.3634957226471
2015,data.Elementary_school_Primary,Mathematics,,96.8516571848543
2015,data.Elementary_school_Primary,Mathematics,Male,96.6061791591358
2015,data.Elementary_school_Primary,Mathematics,Female,97.1149365852532
2018,Middle school,Mathematics,,85.0014731961941
2018,Middle school,Mathematics,Male,84.4343467763045
2018,Middle school,Mathematics,Female,85.626355330099
2018,Middle school,Reading,,84.8917292785689
2018,Middle school,Reading,Male,81.3000049164239
2018,Middle school,Reading,Female,88.8492320594345
