Year,기술유형,성별,Value
2015,ARSP,,55.67186
2015,ARSP,여성,49.3953
2015,ARSP,남성,61.84353
2015,EMAIL,,60.809
2015,EMAIL,여성,55.0189
2015,EMAIL,남성,66.50234
2015,INST,,38.89033
2015,INST,여성,31.2614
2015,INST,남성,46.39177
2015,PCPR,,4.79118
2015,PCPR,여성,2.95221
2015,PCPR,남성,6.59941
2015,SOFT,,48.73657
2015,SOFT,여성,41.27835
2015,SOFT,남성,56.07015
2015,TRAF,,47.78333
2015,TRAF,여성,41.50175
2015,TRAF,남성,53.95992
2016,ARSP,,60.60621
2016,ARSP,여성,54.99273
2016,ARSP,남성,66.12964
2016,EMAIL,,64.58916
2016,EMAIL,여성,58.65253
2016,EMAIL,남성,70.43056
2016,INST,,43.6091
2016,INST,여성,35.70192
2016,INST,남성,51.38943
2016,PCPR,,4.36763
2016,PCPR,여성,2.64651
2016,PCPR,남성,6.06115
2016,SOFT,,56.18882
2016,SOFT,여성,49.32573
2016,SOFT,남성,62.94182
2016,TRAF,,51.39956
2016,TRAF,여성,44.7866
2016,TRAF,남성,57.90644
2017,ARSP,,43.57606
2017,ARSP,여성,35.47301
2017,ARSP,남성,51.65622
2017,CMFL,,74.78145
2017,CMFL,여성,76.44805
2017,CMFL,남성,84.12011
2017,COPA,,61.82875
2017,COPA,여성,55.6934
2017,COPA,남성,68.63182
2017,EMAIL,,57.4379
2017,EMAIL,여성,51.36743
2017,EMAIL,남성,63.83655
2017,EPRS,,35.85351
2017,EPRS,여성,29.20505
2017,EPRS,남성,42.48057
2017,INST,,53.50068
2017,INST,여성,46.99777
2017,INST,남성,60.85703
2017,PCPR,,4.8959
2017,PCPR,여성,3.05081
2017,PCPR,남성,6.70973
2017,SOFT,,51.00982
2017,SOFT,여성,43.93124
2017,SOFT,남성,58.17534
2017,TRAF,,48.41656
2017,TRAF,여성,42.84918
2017,TRAF,남성,54.91568
2018,ARSP,,44.83662
2018,ARSP,여성,37.7545
2018,ARSP,남성,51.67115
2018,CMFL,,95.24477
2018,CMFL,여성,93.89957
2018,CMFL,남성,96.54293
2018,COPA,,80.96574
2018,COPA,여성,76.32413
2018,COPA,남성,85.44507
2018,EMAIL,,72.65882
2018,EMAIL,여성,65.9909
2018,EMAIL,남성,79.09363
2018,EPRS,,38.48518
2018,EPRS,여성,32.13267
2018,EPRS,남성,44.61561
2018,INST,,55.87159
2018,INST,여성,48.37336
2018,INST,남성,63.10768
2018,PCPR,,6.06278
2018,PCPR,여성,4.213
2018,PCPR,남성,7.8479
2018,SOFT,,64.99141
2018,SOFT,여성,59.02282
2018,SOFT,남성,70.75134
2018,TRAF,,58.32352
2018,TRAF,여성,52.06411
2018,TRAF,남성,64.36409
