Year,School environment indicators,School,Value
2000,Computer,Middle school,100
2000,Computer,Elementary school,100
2000,Computer,High school,100
2001,Computer,Middle school,100
2001,Computer,Elementary school,100
2001,Computer,High school,100
2002,Computer,Middle school,100
2002,Computer,Elementary school,100
2002,Computer,High school,100
2003,Computer,Middle school,100
2003,Computer,Elementary school,100
2003,Computer,High school,100
2004,Computer,Middle school,100
2004,Computer,Elementary school,100
2004,Computer,High school,100
2005,Computer,Middle school,100
2005,Computer,Elementary school,100
2005,Computer,High school,100
2006,Computer,Middle school,100
2006,Computer,Elementary school,100
2006,Computer,High school,100
2007,Computer,Middle school,100
2007,Computer,Elementary school,100
2007,Computer,High school,100
2008,Computer,Middle school,100
2008,Computer,Elementary school,100
2008,Computer,High school,100
2009,Computer,Middle school,100
2009,Computer,Elementary school,100
2009,Computer,High school,100
2010,Computer,Middle school,100
2010,Computer,Elementary school,100
2010,Computer,High school,100
2011,Computer,Middle school,100
2011,Computer,Elementary school,100
2011,Computer,High school,100
2012,Computer,Middle school,100
2012,Computer,Elementary school,100
2012,Computer,High school,100
2013,Computer,Middle school,100
2013,Computer,Elementary school,100
2013,Computer,High school,100
2014,Computer,Middle school,100
2014,Computer,Elementary school,100
2014,Computer,High school,100
2015,Computer,Middle school,100
2015,Computer,Elementary school,100
2015,Computer,High school,100
2016,Computer,Middle school,100
2016,Computer,Elementary school,100
2016,Computer,High school,100
2000,Drinking water,Middle school,100
2000,Drinking water,Elementary school,100
2000,Drinking water,High school,100
2001,Drinking water,Middle school,100
2001,Drinking water,Elementary school,100
2001,Drinking water,High school,100
2002,Drinking water,Middle school,100
2002,Drinking water,Elementary school,100
2002,Drinking water,High school,100
2003,Drinking water,Middle school,100
2003,Drinking water,Elementary school,100
2003,Drinking water,High school,100
2004,Drinking water,Middle school,100
2004,Drinking water,Elementary school,100
2004,Drinking water,High school,100
2005,Drinking water,Middle school,100
2005,Drinking water,Elementary school,100
2005,Drinking water,High school,100
2006,Drinking water,Middle school,100
2006,Drinking water,Elementary school,100
2006,Drinking water,High school,100
2007,Drinking water,Middle school,100
2007,Drinking water,Elementary school,100
2007,Drinking water,High school,100
