Year,Units,Value
2004,Wastewater generation,11946076
2004,Excretions,49053
2005,Wastewater generation,16832611
2005,Excretions,47627
2006,Wastewater generation,16919995
2006,Excretions,47094
2007,Wastewater generation,16744875
2007,Excretions,44766
2008,Wastewater generation,17113106
2008,Excretions,46420
2009,Wastewater generation,16681388
2009,Excretions,48749
2010,Wastewater generation,16111195
2010,Excretions,46189
2011,Wastewater generation,18660763
2011,Excretions,42358
2012,Wastewater generation,15722166
2012,Excretions,41747
2013,Wastewater generation,15148299
2013,Excretions,62011
2014,Wastewater generation,16256451
2014,Excretions,36447
2015,Wastewater generation,14975476
2015,Excretions,37893
2016,Wastewater generation,14392658
2016,Excretions,41343
