Year,Sex,Value
2000,,10.8
2000,Male,13.6
2000,Female,9.0
2001,,10.2
2001,Male,12.7
2001,Female,8.6
2002,,8.5
2002,Male,10.3
2002,Female,7.5
2003,,10.1
2003,Male,11.9
2003,Female,9.0
2004,,10.5
2004,Male,12.2
2004,Female,9.4
2005,,10.2
2005,Male,12.2
2005,Female,9.0
2006,,10.0
2006,Male,11.7
2006,Female,9.0
2007,,8.8
2007,Male,11.4
2007,Female,7.2
2008,,9.3
2008,Male,11.5
2008,Female,7.9
2009,,9.9
2009,Male,11.9
2009,Female,8.6
2010,,9.8
2010,Male,11.2
2010,Female,9.0
2011,,9.6
2011,Male,12.1
2011,Female,8.1
2012,,9.0
2012,Male,9.7
2012,Female,8.5
2013,,9.3
2013,Male,9.8
2013,Female,9.0
2014,,10.0
2014,Male,11.2
2014,Female,9.2
2015,,10.5
2015,Male,11.3
2015,Female,10.0
2016,,10.7
2016,Male,11.0
2016,Female,10.5
2017,,10.4
2017,Male,11.3
2017,Female,9.7
