Year,Category,Value
2006,Commitments,216.5282
2007,Commitments,552.1634
2008,Commitments,750.4684
2009,Commitments,1247.1627
2010,Commitments,834.7232
2011,Commitments,840.9402
2012,Commitments,870.495
2013,Commitments,758.1347
2014,Commitments,1095.5567
2015,Commitments,953.5117
2016,Commitments,1086.7894
2017,Commitments,1212.9379
2018,Commitments,1540.5696
2019,Commitments,1487.054
2020,Commitments,530.6854
2021,Commitments,1696.8953
2006,Disbursement,164.8053
2007,Disbursement,180.311
2008,Disbursement,276.5405
2009,Disbursement,313.8754
2010,Disbursement,392.2579
2011,Disbursement,454.4012
2012,Disbursement,478.9407
2013,Disbursement,583.9958
2014,Disbursement,546.9012
2015,Disbursement,628.071
2016,Disbursement,605.2206
2017,Disbursement,570.3003
2018,Disbursement,644.5869
2019,Disbursement,727.8021
2020,Disbursement,434.4855
2021,Disbursement,633.2364
