Year,Units,Mode of transportation,Value
2011,Domestic passenger,Rail,1118621
2012,Domestic passenger,Rail,1149340
2013,Domestic passenger,Rail,1224820
2014,Domestic passenger,Rail,1263472
2015,Domestic passenger,Rail,1269417
2016,Domestic passenger,Rail,1449534
2017,Domestic passenger,Rail,1490257
2018,Domestic passenger,Rail,1524590
2011,Domestic passenger,Subway,2358758
2012,Domestic passenger,Subway,2410931
2013,Domestic passenger,Subway,2476394
2014,Domestic passenger,Subway,2526167
2015,Domestic passenger,Subway,2522900
2016,Domestic passenger,Subway,3572127
2017,Domestic passenger,Subway,3604710
2018,Domestic passenger,Subway,3678352
2011,Domestic passenger,Sky roads,25943079
2012,Domestic passenger,Sky roads,25982998
2013,Domestic passenger,Sky roads,26327678
2014,Domestic passenger,Sky roads,26678513
2015,Domestic passenger,Sky roads,27193794
2016,Domestic passenger,Sky roads,28090714
2017,Domestic passenger,Sky roads,28192366
2018,Domestic passenger,Sky roads,28409618
2011,Domestic passenger,Shipping,14266
2012,Domestic passenger,Shipping,14538
2013,Domestic passenger,Shipping,16063
2014,Domestic passenger,Shipping,14271
2015,Domestic passenger,Shipping,15381
2016,Domestic passenger,Shipping,15423
2017,Domestic passenger,Shipping,16910
2018,Domestic passenger,Shipping,14625
2011,Domestic passenger,Air transport,20981
2012,Domestic passenger,Air transport,21602
2013,Domestic passenger,Air transport,22353
2014,Domestic passenger,Air transport,24648
2015,Domestic passenger,Air transport,27980
2016,Domestic passenger,Air transport,30913
2017,Domestic passenger,Air transport,32406
2018,Domestic passenger,Air transport,31601
2011,International passenger,Shipping,2660
2012,International passenger,Shipping,2881
2013,International passenger,Shipping,2737
2014,International passenger,Shipping,2646
2015,International passenger,Shipping,2617
2016,International passenger,Shipping,2777
2017,International passenger,Shipping,2728
2011,International passenger,Air transport,42649
2012,International passenger,Air transport,47703
2013,International passenger,Air transport,50987
2014,International passenger,Air transport,56779
2015,International passenger,Air transport,61434
2016,International passenger,Air transport,73001
2017,International passenger,Air transport,76956
2018,International passenger,Air transport,85925
2011,Domestic freight,Rail,40012
2012,Domestic freight,Rail,40309
2013,Domestic freight,Rail,39822
2014,Domestic freight,Rail,37379
2015,Domestic freight,Rail,37094
2016,Domestic freight,Rail,32555
2017,Domestic freight,Rail,31670
2018,Domestic freight,Rail,31670
2011,Domestic freight,Sky roads,1439625
2012,Domestic freight,Sky roads,1554510
2013,Domestic freight,Sky roads,1546407
2014,Domestic freight,Sky roads,1512700
2015,Domestic freight,Sky roads,1761291
2016,Domestic freight,Sky roads,1799565
2017,Domestic freight,Sky roads,1854011
2018,Domestic freight,Sky roads,1895686
2011,Domestic freight,Shipping,125588
2012,Domestic freight,Shipping,119057
2013,Domestic freight,Shipping,117860
2014,Domestic freight,Shipping,117920
2015,Domestic freight,Shipping,128611
2016,Domestic freight,Shipping,143227
2017,Domestic freight,Shipping,142587
2018,Domestic freight,Shipping,120327
2011,Domestic freight,Air transport,281
2012,Domestic freight,Air transport,265
2013,Domestic freight,Air transport,253
2014,Domestic freight,Air transport,283
2015,Domestic freight,Air transport,288
2016,Domestic freight,Air transport,293
2017,Domestic freight,Air transport,290
2018,Domestic freight,Air transport,273
2011,International freight,Shipping,1069566
2012,International freight,Shipping,1108538
2013,International freight,Shipping,1123205
2014,International freight,Shipping,1184641
2015,International freight,Shipping,1216782
2016,International freight,Shipping,1242597
2017,International freight,Shipping,1312489
2018,International freight,Shipping,1405925
2011,International freight,Air transport,3238
2012,International freight,Air transport,3209
2013,International freight,Air transport,3246
2014,International freight,Air transport,3411
2015,International freight,Air transport,3519
2016,International freight,Air transport,3781
2017,International freight,Air transport,4032
2018,International freight,Air transport,4169
