Year,Value,Units
2000,	,Pre-primary
2000,100,Primary
2000,100,Secondary
2000,100,Lower_secondary
2000,100,Upper_secondary
2001,	,Pre-primary
2001,100,Primary
2001,100,Secondary
2001,100,Lower_secondary
2001,100,Upper_secondary
2002,	,Pre-primary
2002,100,Primary
2002,100,Secondary
2002,100,Lower_secondary
2002,100,Upper_secondary
2003,	,Pre-primary
2003,100,Primary
2003,100,Secondary
2003,100,Lower_secondary
2003,100,Upper_secondary
2004,	,Pre-primary
2004,100,Primary
2004,100,Secondary
2004,100,Lower_secondary
2004,100,Upper_secondary
2005,	,Pre-primary
2005,100,Primary
2005,100,Secondary
2005,100,Lower_secondary
2005,100,Upper_secondary
2006,	,Pre-primary
2006,100,Primary
2006,100,Secondary
2006,100,Lower_secondary
2006,100,Upper_secondary
2007,	,Pre-primary
2007,100,Primary
2007,100,Secondary
2007,100,Lower_secondary
2007,100,Upper_secondary
2008,	,Pre-primary
2008,100,Primary
2008,100,Secondary
2008,100,Lower_secondary
2008,100,Upper_secondary
2009,	,Pre-primary
2009,100,Primary
2009,100,Secondary
2009,100,Lower_secondary
2009,100,Upper_secondary
2010,	,Pre-primary
2010,100,Primary
2010,100,Secondary
2010,100,Lower_secondary
2010,100,Upper_secondary
2011,100	,Pre-primary
2011,100,Primary
2011,100,Secondary
2011,100,Lower_secondary
2011,100,Upper_secondary
2012,	,Pre-primary
2012,100,Primary
2012,100,Secondary
2011,100,Lower_secondary
2012,100,Upper_secondary
2013,100	,Pre-primary
2013,100,Primary
2013,100,Secondary
2011,100,Lower_secondary
2013,100,Upper_secondary
2014,100	,Pre-primary
2014,100,Primary
2014,100,Secondary
2014,100,Lower_secondary
2014,100,Upper_secondary
2015,100	,Pre-primary
2015,100,Primary
2015,100,Secondary
2015,100,Lower_secondary
2015,100,Upper_secondary
2016,100	,Pre-primary
2016,100,Primary
2016,100,Secondary
2016,100,Lower_secondary
2016,100,Upper_secondary
2017,100	,Pre-primary
2017,100,Primary
2017,100,Secondary
2017,100,Lower_secondary
2017,100,Upper_secondary
2018,100	,Pre-primary
2018,100,Primary
2018,100,Secondary
2018,100,Lower_secondary
2018,100,Upper_secondary
2019,100	,Pre-primary
2019,100,Primary
2019,100,Secondary
2019,100,Lower_secondary
2019,100,Upper_secondary
2020,100	,Pre-primary
2020,100,Primary
2020,100,Secondary
2020,100,Lower_secondary
2020,100,Upper_secondary
