Year,Value
2001,18.15
2005,11.55
2007,17.15
2008,13.8
2009,14.25
2010,10.05
2011,10.65
2012,11.9
2013,8.05
2014,8.05
2015,8.5
2016,12.4
2017,13.35
2018,12.85
2001,18.95
2005,11.0875
2007,17.7375
2008,12.85
2009,13.525
2010,9.7875
2011,10.525
2012,11.525
2013,8.025
2014,8.5375
2015,8.55
2016,10.975
2017,11.8
2018,11.1125
2001,19.0
2005,11.85
2007,16.8
2008,14.1
2009,14.8
2010,9.85
2011,10.0
2012,13.15
2013,7.7
2014,8.2
2015,8.55
2016,13.6
2017,13.9
2018,12.75
2001,18.46
2005,11.56
2007,17.04
2008,13.62
2009,14.16
2010,9.84
2011,10.4
2012,11.68
2013,8.04
2014,7.92
2015,8.42
2016,12.32
2017,13.24
2018,12.76
