Year,성별,연령별,Value
2017,,,17001.0
2017,,20세 미만,141.0
2017,,20~29,436.0
2017,,30~39,2143.0
2017,,40~49,3921.0
2017,,50~59,4421.0
2017,,60~69,3289.0
2017,,70~79,2076.0
2017,,80세 이상,1273.0
2017,남성,,9648.8
2017,남성,20세 미만,88.4
2017,남성,20~29,258.2
2017,남성,30~39,1280.8
2017,남성,40~49,2168.3
2017,남성,50~59,2388.0
2017,남성,60~69,1834.8
2017,남성,70~79,1192.4
2017,남성,80세 이상,850.8
2017,여성,,7352.2
2017,여성,20세 미만,52.6
2017,여성,20~29,177.8
2017,여성,30~39,862.2
2017,여성,40~49,1752.7
2017,여성,50~59,2033.0
2017,여성,60~69,1454.2
2017,여성,70~79,883.6
2017,여성,80세 이상,422.2
2018,,,17322.1
2018,,20세 미만,41.6
2018,,20~29,343.9
2018,,30~39,2051.7
2018,,40~49,3794.3
2018,,50~59,4425.4
2018,,60~69,3349.0
2018,,70~79,2053.7
2018,,80세 이상,1262.5
2018,남성,,9759.8
2018,남성,20세 미만,25.8
2018,남성,20~29,201.9
2018,남성,30~39,1222.8
2018,남성,40~49,2101.6
2018,남성,50~59,2362.6
2018,남성,60~69,1845.3
2018,남성,70~79,1165.7
2018,남성,80세 이상,834.2
2018,여성,,7562.3
2018,여성,20세 미만,15.8
2018,여성,20~29,141.9
2018,여성,30~39,828.9
2018,여성,40~49,1692.7
2018,여성,50~59,2062.9
2018,여성,60~69,1503.7
2018,여성,70~79,888.0
2018,여성,80세 이상,428.3
2019,,,17674.817
2019,,20세 미만,42.622
2019,,20~29,343.637
2019,,30~39,1972.863
2019,,40~49,3788.656
2019,,50~59,4491.063
2019,,60~69,3552.955
2019,,70~79,2119.058
2019,,80세 이상,1363.963
2019,남성,,9892.711
2019,남성,20세 미만,26.231
2019,남성,20~29,200.997
2019,남성,30~39,1175.444
2019,남성,40~49,2102.544
2019,남성,50~59,2377.852
2019,남성,60~69,1931.324
2019,남성,70~79,1188.466
2019,남성,80세 이상,889.853
2019,여성,,7782.106
2019,여성,20세 미만,16.391
2019,여성,20~29,142.64
2019,여성,30~39,797.419
2019,여성,40~49,1686.112
2019,여성,50~59,2113.211
2019,여성,60~69,1621.631
2019,여성,70~79,930.592
2019,여성,80세 이상,474.11
2020,,,18054.004
2020,,20세 미만,41.783
2020,,20~29,359.255
2020,,30~39,1919.834
2020,,40~49,3781.482
2020,,50~59,4512.354
2020,,60~69,3797.548
2020,,70~79,2187.244
2020,,80세 이상,1454.504
2020,남성,,10040.993
2020,남성,20세 미만,25.419
2020,남성,20~29,207.549
2020,남성,30~39,1139.206
2020,남성,40~49,2108.317
2020,남성,50~59,2375.902
2020,남성,60~69,2037.052
2020,남성,70~79,1213.595
2020,남성,80세 이상,936.953
2020,여성,,8013.011
2020,여성,20세 미만,16.364
2020,여성,20~29,151.706
2020,여성,30~39,780.628
2020,여성,40~49,1676.165
2020,여성,50~59,2136.452
2020,여성,60~69,1760.496
2020,여성,70~79,973.649
2020,여성,80세 이상,517.551
2021,,,18505.307
2021,,20세 미만,46.765
2021,,20~29,392.51
2021,,30~39,1879.895
2021,,40~49,3762.944
2021,,50~59,4574.699
2021,,60~69,4075.05
2021,,70~79,2221.244
2021,,80세 이상,1552.2
2021,남성,,10224.451
2021,남성,20세 미만,28.134
2021,남성,20~29,225.104
2021,남성,30~39,1108.947
2021,남성,40~49,2099.834
2021,남성,50~59,2400.277
2021,남성,60~69,2159.632
2021,남성,70~79,1218.548
2021,남성,80세 이상,983.975
2021,여성,,8280.856
2021,여성,20세 미만,18.631
2021,여성,20~29,167.406
2021,여성,30~39,770.948
2021,여성,40~49,1663.11
2021,여성,50~59,2174.422
2021,여성,60~69,1915.418
2021,여성,70~79,1002.696
2021,여성,80세 이상,568.225
