Year,구분,Value
2005,,15
2005,최초발간,9
2005,누적발간,6
2006,,25
2006,최초발간,13
2006,누적발간,12
2007,,40
2007,최초발간,23
2007,누적발간,17
2008,,62
2008,최초발간,24
2008,누적발간,38
2009,,75
2009,최초발간,29
2009,누적발간,46
2010,,90
2010,최초발간,34
2010,누적발간,56
2011,,103
2011,최초발간,27
2011,누적발간,76
2012,,112
2012,최초발간,27
2012,누적발간,85
2013,,130
2013,최초발간,21
2013,누적발간,109
2014,,127
2014,최초발간,16
2014,누적발간,111
2015,,132
2015,최초발간,17
2015,누적발간,115
2016,,122
2016,최초발간,14
2016,누적발간,108
2017,,133
2017,최초발간,18
2017,누적발간,115
2018,,133
2018,최초발간,16
2018,누적발간,117
2019,,135
2019,최초발간,13
2019,누적발간,122
2020,,138
2020,최초발간,18
2020,누적발간,120
2021,,48
2021,최초발간,9
2021,누적발간,39
