Year,성별,Abuse category,Abuse sub-category,Unit measure,Unit multiplier,Observation status,Value
2016,,,,Percentage (%),Units,Undefined,15.97586453
2016,,Sexual,,Percentage (%),Units,Undefined,3.88584624
2016,,Sexual,Sexual assault by rape or penetration (including attempts),Percentage (%),Units,Undefined,1.4367751
2016,,Sexual,Other sexual assault,Percentage (%),Units,Undefined,3.69012789
2016,남성,,,Percentage (%),Units,Undefined,11.75785728
2016,남성,Sexual,,Percentage (%),Units,Undefined,1.23445173
2016,남성,Sexual,Sexual assault by rape or penetration (including attempts),Percentage (%),Units,Undefined,0.48569104
2016,남성,Sexual,Other sexual assault,Percentage (%),Units,Undefined,1.12624728
2016,여성,,,Percentage (%),Units,Undefined,20.37083573
2016,여성,Sexual,,Percentage (%),Units,Undefined,6.64054995
2016,여성,Sexual,Sexual assault by rape or penetration (including attempts),Percentage (%),Units,Undefined,2.42058424
2016,여성,Sexual,Other sexual assault,Percentage (%),Units,Undefined,6.35016776
