Year,구분,성별,연령별,Value
2013,,,,3.1
2013,도시,,,3.1
2013,농촌,,,3.2
2013,,남성,,3.1
2013,,여성,,3.1
2013,,,19~29,3.0
2013,,,30~39,3.1
2013,,,40~49,3.1
2013,,,50~59,3.1
2013,,,60~69,3.3
2014,,,,3.3
2014,도시,,,3.2
2014,농촌,,,3.3
2014,,남성,,3.2
2014,,여성,,3.3
2014,,,19~29,3.2
2014,,,30~39,3.2
2014,,,40~49,3.2
2014,,,50~59,3.4
2014,,,60~69,3.5
2015,,,,3.2
2015,도시,,,3.3
2015,농촌,,,3.2
2015,,남성,,3.2
2015,,여성,,3.3
2015,,,19~29,3.2
2015,,,30~39,3.3
2015,,,40~49,3.2
2015,,,50~59,3.2
2015,,,60~69,3.4
2016,,,,3.3
2016,도시,,,3.3
2016,농촌,,,3.4
2016,,남성,,3.3
2016,,여성,,3.4
2016,,,19~29,3.4
2016,,,30~39,3.3
2016,,,40~49,3.3
2016,,,50~59,3.4
2016,,,60~69,3.4
2017,,,,3.2
2017,도시,,,3.2
2017,농촌,,,3.3
2017,,남성,,3.2
2017,,여성,,3.2
2017,,,19~29,3.2
2017,,,30~39,3.2
2017,,,40~49,3.2
2017,,,50~59,3.3
2017,,,60~69,3.3
2018,,,,3.2
2018,도시,,,3.2
2018,농촌,,,3.2
2018,,남성,,3.2
2018,,여성,,3.3
2018,,,19~29,3.2
2018,,,30~39,3.1
2018,,,40~49,3.2
2018,,,50~59,3.3
2018,,,60~69,3.4
2019,,,,3.1
2019,도시,,,3.1
2019,농촌,,,3.2
2019,,남성,,3.1
2019,,여성,,3.1
2019,,,19~29,3.1
2019,,,30~39,3.0
2019,,,40~49,3.1
2019,,,50~59,3.2
2019,,,60~69,3.2
2020,,,,3.4
2020,도시,,,3.4
2020,농촌,,,3.3
2020,,남성,,3.3
2020,,여성,,3.4
2020,,,19~29,3.4
2020,,,30~39,3.3
2020,,,40~49,3.3
2020,,,50~59,3.4
2020,,,60세 이상,3.5
