Year,구분,유형별,Value
2005,최혜국 지위,농산품,86.03
2010,최혜국 지위,농산품,81.91
2015,최혜국 지위,농산품,81.16
2016,최혜국 지위,농산품,84.76
2017,최혜국 지위,농산품,71.62
2018,최혜국 지위,농산품,71.62
2019,최혜국 지위,농산품,79.48
2005,최혜국 지위,전체 혹은 감면없음,7.9
2010,최혜국 지위,전체 혹은 감면없음,7.2
2015,최혜국 지위,전체 혹은 감면없음,8.71
2016,최혜국 지위,전체 혹은 감면없음,8.69
2017,최혜국 지위,전체 혹은 감면없음,8.58
2018,최혜국 지위,전체 혹은 감면없음,8.58
2019,최혜국 지위,전체 혹은 감면없음,9.03
2005,최혜국 지위,무기,0.09
2010,최혜국 지위,무기,0.09
2015,최혜국 지위,무기,0.23
2016,최혜국 지위,무기,0.24
2017,최혜국 지위,무기,0.26
2018,최혜국 지위,무기,0.26
2019,최혜국 지위,무기,4.85
2005,최혜국 지위,의류,12.85
2010,최혜국 지위,의류,12.8
2015,최혜국 지위,의류,12.84
2016,최혜국 지위,의류,12.87
2017,최혜국 지위,의류,12.83
2018,최혜국 지위,의류,12.83
2019,최혜국 지위,의류,12.85
2005,최혜국 지위,공산품,4.02
2010,최혜국 지위,공산품,3.75
2015,최혜국 지위,공산품,4.22
2016,최혜국 지위,공산품,3.86
2017,최혜국 지위,공산품,4.92
2018,최혜국 지위,공산품,4.92
2019,최혜국 지위,공산품,4.79
2005,최혜국 지위,기름,5.0
2010,최혜국 지위,기름,3.0
2015,최혜국 지위,기름,3.0
2016,최혜국 지위,기름,3.0
2017,최혜국 지위,기름,3.0
2018,최혜국 지위,기름,3.0
2019,최혜국 지위,기름,3.0
2005,최혜국 지위,섬유,8.52
2010,최혜국 지위,섬유,8.08
2015,최혜국 지위,섬유,8.23
2016,최혜국 지위,섬유,8.26
2017,최혜국 지위,섬유,8.25
2018,최혜국 지위,섬유,8.25
2019,최혜국 지위,섬유,8.29
2005,특혜지위,농산품,85.92
2010,특혜지위,농산품,81.35
2015,특혜지위,농산품,68.04
2016,특혜지위,농산품,72.26
2017,특혜지위,농산품,52.19
2018,특혜지위,농산품,49.71
2019,특혜지위,농산품,61.11
2005,특혜지위,전체 혹은 감면없음,7.86
2010,특혜지위,전체 혹은 감면없음,6.88
2015,특혜지위,전체 혹은 감면없음,6.07
2016,특혜지위,전체 혹은 감면없음,6.65
2017,특혜지위,전체 혹은 감면없음,4.9
2018,특혜지위,전체 혹은 감면없음,4.68
2019,특혜지위,전체 혹은 감면없음,5.23
2005,특혜지위,무기,0.09
2010,특혜지위,무기,0.09
2015,특혜지위,무기,0.01
2016,특혜지위,무기,0.01
2017,특혜지위,무기,0.004
2018,특혜지위,무기,0.004
2019,특혜지위,무기,4.78
2005,특혜지위,의류,11.69
2010,특혜지위,의류,10.17
2015,특혜지위,의류,5.3
2016,특혜지위,의류,5.75
2017,특혜지위,의류,3.74
2018,특혜지위,의류,3.45
2019,특혜지위,의류,3.17
2005,특혜지위,공산품,3.99
2010,특혜지위,공산품,3.42
2015,특혜지위,공산품,2.07
2016,특혜지위,공산품,2.4
2017,특혜지위,공산품,1.94
2018,특혜지위,공산품,1.86
2019,특혜지위,공산품,1.63
2005,특혜지위,기름,5.0
2010,특혜지위,기름,2.99
2015,특혜지위,기름,2.83
2016,특혜지위,기름,2.9
2017,특혜지위,기름,2.78
2018,특혜지위,기름,2.77
2019,특혜지위,기름,2.55
2005,특혜지위,섬유,8.45
2010,특혜지위,섬유,7.02
2015,특혜지위,섬유,4.66
2016,특혜지위,섬유,5.22
2017,특혜지위,섬유,3.51
2018,특혜지위,섬유,3.26
2019,특혜지위,섬유,3.14
