Year,Units,Value
2001,농업지향지수,1.598
2002,농업지향지수,1.616
2003,농업지향지수,1.655
2004,농업지향지수,1.502
2005,농업지향지수,1.716
2006,농업지향지수,2.043
2007,농업지향지수,2.101
2008,농업지향지수,2.201
2009,농업지향지수,1.897
2010,농업지향지수,2.086
2011,농업지향지수,2.154
2012,농업지향지수,1.955
2013,농업지향지수,1.939
2014,농업지향지수,1.809
2015,농업지향지수,2.059
2016,농업지향지수,2.174
2017,농업지향지수,2.163
2018,농업지향지수,2.321
2019,농업지향지수,2.04
2020,농업지향지수,1.8
2021,농업지향지수,2.04
2001,정부지출 중 농업지출 비율(%),5.69974
2002,정부지출 중 농업지출 비율(%),5.18095
2003,정부지출 중 농업지출 비율(%),4.90677
2004,정부지출 중 농업지출 비율(%),4.44192
2005,정부지출 중 농업지출 비율(%),4.49618
2006,정부지출 중 농업지출 비율(%),5.1013
2007,정부지출 중 농업지출 비율(%),4.79824
2008,정부지출 중 농업지출 비율(%),4.71453
2009,정부지출 중 농업지출 비율(%),4.25093
2010,정부지출 중 농업지출 비율(%),4.47172
2011,정부지출 중 농업지출 비율(%),4.7592
2012,정부지출 중 농업지출 비율(%),4.27384
2013,정부지출 중 농업지출 비율(%),4.06971
2014,정부지출 중 농업지출 비율(%),3.72095
2015,정부지출 중 농업지출 비율(%),4.12655
2016,정부지출 중 농업지출 비율(%),4.04131
2017,정부지출 중 농업지출 비율(%),4.0
2018,정부지출 중 농업지출 비율(%),4.05
2019,정부지출 중 농업지출 비율(%),3.41
2020,정부지출 중 농업지출 비율(%),3.17
2021,정부지출 중 농업지출 비율(%),3.66
2001,GDP 중 농업부가가치 비율(%),3.56582
2002,GDP 중 농업부가가치 비율(%),3.2068
2003,GDP 중 농업부가가치 비율(%),2.9646
2004,GDP 중 농업부가가치 비율(%),2.95802
2005,GDP 중 농업부가가치 비율(%),2.61998
2006,GDP 중 농업부가가치 비율(%),2.49747
2007,GDP 중 농업부가가치 비율(%),2.28341
2008,GDP 중 농업부가가치 비율(%),2.14225
2009,GDP 중 농업부가가치 비율(%),2.24056
2010,GDP 중 농업부가가치 비율(%),2.14402
2011,GDP 중 농업부가가치 비율(%),2.2092
2012,GDP 중 농업부가가치 비율(%),2.18619
2013,GDP 중 농업부가가치 비율(%),2.09905
2014,GDP 중 농업부가가치 비율(%),2.05668
2015,GDP 중 농업부가가치 비율(%),2.00391
2016,GDP 중 농업부가가치 비율(%),1.85903
2017,GDP 중 농업부가가치 비율(%),1.85076
2018,GDP 중 농업부가가치 비율(%),1.7464
2019,GDP 중 농업부가가치 비율(%),1.67
2020,GDP 중 농업부가가치 비율(%),1.77
2021,GDP 중 농업부가가치 비율(%),1.79
