Year,감염병별,Value
2001,,7
2001,한센병,0
2001,공수병,1
2001,뎅기열,6
2002,,10
2002,한센병,0
2002,공수병,1
2002,뎅기열,9
2003,,16
2003,한센병,0
2003,공수병,2
2003,뎅기열,14
2004,,17
2004,한센병,0
2004,공수병,1
2004,뎅기열,16
2005,,34
2005,한센병,0
2005,공수병,0
2005,뎅기열,34
2006,,35
2006,한센병,0
2006,공수병,0
2006,뎅기열,35
2007,,97
2007,한센병,0
2007,공수병,0
2007,뎅기열,97
2008,,51
2008,한센병,0
2008,공수병,0
2008,뎅기열,51
2009,,59
2009,한센병,0
2009,공수병,0
2009,뎅기열,59
2010,,125
2010,한센병,0
2010,공수병,0
2010,뎅기열,125
2011,,79
2011,한센병,7
2011,공수병,0
2011,뎅기열,72
2012,,154
2012,한센병,5
2012,공수병,0
2012,뎅기열,149
2013,,259
2013,한센병,7
2013,공수병,0
2013,뎅기열,252
2014,,171
2014,한센병,6
2014,공수병,0
2014,뎅기열,165
2015,,257
2015,한센병,2
2015,공수병,0
2015,뎅기열,255
2016,,317
2016,한센병,4
2016,공수병,0
2016,뎅기열,313
2017,,174
2017,한센병,3
2017,공수병,0
2017,뎅기열,171
2018,,165
2018,한센병,6
2018,공수병,0
2018,뎅기열,159
2019,,277
2019,한센병,4
2019,공수병,0
2019,뎅기열,273
2020,,45
2020,한센병,3
2020,공수병,0
2020,뎅기열,42
