Year,형평성 영역,능력별,Value
2003,원주민 불평등지수,수리력,0.220344007165347
2006,원주민 불평등지수,수리력,1.09184585178267
2006,원주민 불평등지수,문해력,0.211557397705957
2009,원주민 불평등지수,문해력,0.635021107030191
2012,원주민 불평등지수,문해력,0.702697436098762
2012,원주민 불평등지수,수리력,0.714281706598549
2015,원주민 불평등지수,수리력,1.02581097056164
2003,언어테스트 불평등지수,문해력,0.72250355719465
2003,언어테스트 불평등지수,수리력,0.626201300996527
2006,언어테스트 불평등지수,문해력,0.798235009894934
2006,언어테스트 불평등지수,수리력,0.926720328391517
2009,언어테스트 불평등지수,문해력,0.784276120036459
2009,언어테스트 불평등지수,수리력,0.692234278030671
2012,언어테스트 불평등지수,문해력,0.922856234404703
2012,언어테스트 불평등지수,수리력,0.723227178060552
2018,언어테스트 불평등지수,문해력,0.73619520053112
2018,언어테스트 불평등지수,수리력,0.79248498404889
2000,성 불평등지수,문해력,1.03874
2000,성 불평등지수,수리력,0.96628
2003,성 불평등지수,문해력,1.04282
2003,성 불평등지수,수리력,0.97297
2006,성 불평등지수,문해력,1.05357
2006,성 불평등지수,수리력,1.00502
2009,성 불평등지수,문해력,1.07009
2009,성 불평등지수,수리력,1.02319
2011,성 불평등지수,수리력,1.00149
2012,성 불평등지수,문해력,1.06573
2012,성 불평등지수,수리력,1.00105
2015,성 불평등지수,문해력,1.14261
2015,성 불평등지수,수리력,1.05831
2015,성 불평등지수,수리력,1.00527
2018,성 불평등지수,문해력,1.09286
2018,성 불평등지수,수리력,1.01412
2000,사회경제적 불평등지수,문해력,0.898568944042732
2000,사회경제적 불평등지수,수리력,0.870102889648548
2003,사회경제적 불평등지수,문해력,0.886229038145007
2003,사회경제적 불평등지수,수리력,0.83164721382251
2006,사회경제적 불평등지수,문해력,0.93400227409223
2006,사회경제적 불평등지수,수리력,0.879080546180804
2009,사회경제적 불평등지수,문해력,0.898191102874981
2009,사회경제적 불평등지수,수리력,0.869812111064004
2011,사회경제적 불평등지수,수리력,0.941164071166394
2012,사회경제적 불평등지수,문해력,0.906398993601387
2012,사회경제적 불평등지수,수리력,0.889888709913915
2015,사회경제적 불평등지수,문해력,0.83226173010044
2015,사회경제적 불평등지수,수리력,0.785251070001341
2015,사회경제적 불평등지수,수리력,0.934854869058554
2018,사회경제적 불평등지수,문해력,0.816184357811575
2018,사회경제적 불평등지수,수리력,0.79945047280668
2000,도농 불평등지수,수리력,0.900436436175238
2000,도농 불평등지수,문해력,0.9446970235889
2003,도농 불평등지수,수리력,0.843827409903758
2003,도농 불평등지수,문해력,0.92600976771944
2006,도농 불평등지수,수리력,0.84316884877919
2006,도농 불평등지수,문해력,0.858078304400475
2009,도농 불평등지수,수리력,0.823088073588172
2009,도농 불평등지수,문해력,0.839992965341114
2011,도농 불평등지수,수리력,0.948479896708481
2012,도농 불평등지수,문해력,0.931439386510226
2012,도농 불평등지수,수리력,0.911265652494717
