Year,Units,성별,Value
2000,중학교,,100
2000,중학교,여성,100
2000,중학교,남성,100
2000,유치원,,	
2000,유치원,여성,
2000,유치원,남성,	
2000,초등학교,,100
2000,초등학교,여성,100
2000,초등학교,남성,100
2000,중고등학교,,100
2000,중고등학교,여성,100
2000,중고등학교,남성,100
2000,고등학교,,100
2000,고등학교,여성,100
2000,고등학교,남성,100
2001,중학교,,100
2001,중학교,FemaleE,100
2001,중학교,남성,100
2001,유치원,,	
2001,유치원,여성,
2001,유치원,남성,	
2001,초등학교,,100
2001,초등학교,여성,100
2001,초등학교,남성,100
2001,중고등학교,,100
2001,중고등학교,여성,100
2001,중고등학교,남성,100
2001,고등학교,,100
2001,고등학교,여성,100
2001,고등학교,남성,100
2002,중학교,,100
2002,중학교,FemaleE,100
2002,중학교,남성,100
2002,유치원,,	
2002,유치원,여성,
2002,유치원,남성,	
2002,초등학교,,100
2002,초등학교,여성,100
2002,초등학교,남성,100
2002,중고등학교,,100
2002,중고등학교,여성,100
2002,중고등학교,남성,100
2002,고등학교,,100
2002,고등학교,여성,100
2002,고등학교,남성,100
2003,중학교,,100
2003,중학교,FemaleE,100
2003,중학교,남성,100
2003,유치원,,	
2003,유치원,여성,
2003,유치원,남성,	
2003,초등학교,,100
2003,초등학교,여성,100
2003,초등학교,남성,100
2003,중고등학교,,100
2003,중고등학교,여성,100
2003,중고등학교,남성,100
2003,고등학교,,100
2003,고등학교,여성,100
2003,고등학교,남성,100
2004,중학교,,100
2004,중학교,FemaleE,100
2004,중학교,남성,100
2004,유치원,,	
2004,유치원,여성,
2004,유치원,남성,	
2004,초등학교,,100
2004,초등학교,여성,100
2004,초등학교,남성,100
2004,중고등학교,,100
2004,중고등학교,여성,100
2004,중고등학교,남성,100
2004,고등학교,,100
2004,고등학교,여성,100
2004,고등학교,남성,100
2005,중학교,,100
2005,중학교,FemaleE,100
2005,중학교,남성,100
2005,유치원,,	
2005,유치원,여성,
2005,유치원,남성,	
2005,초등학교,,100
2005,초등학교,여성,100
2005,초등학교,남성,100
2005,중고등학교,,100
2005,중고등학교,여성,100
2005,중고등학교,남성,100
2005,고등학교,,100
2005,고등학교,여성,100
2005,고등학교,남성,100
2006,중학교,,100
2006,중학교,FemaleE,100
2006,중학교,남성,100
2006,유치원,,	
2006,유치원,여성,
2006,유치원,남성,	
2006,초등학교,,100
2006,초등학교,여성,100
2006,초등학교,남성,100
2006,중고등학교,,100
2006,중고등학교,여성,100
2006,중고등학교,남성,100
2006,고등학교,,100
2006,고등학교,여성,100
2006,고등학교,남성,100
2007,중학교,,100
2007,중학교,FemaleE,100
2007,중학교,남성,100
2007,유치원,,	
2007,유치원,여성,
2007,유치원,남성,	
2007,초등학교,,100
2007,초등학교,여성,100
2007,초등학교,남성,100
2007,중고등학교,,100
2007,중고등학교,여성,100
2007,중고등학교,남성,100
2007,고등학교,,100
2007,고등학교,여성,100
2007,고등학교,남성,100
2008,중학교,,100
2008,중학교,FemaleE,100
2008,중학교,남성,100
2008,유치원,,	
2008,유치원,여성,
2008,유치원,남성,	
2008,초등학교,,100
2008,초등학교,여성,100
2008,초등학교,남성,100
2008,중고등학교,,100
2008,중고등학교,여성,100
2008,중고등학교,남성,100
2008,고등학교,,100
2008,고등학교,여성,100
2008,고등학교,남성,100
2009,중학교,,100
2009,중학교,FemaleE,100
2009,중학교,남성,100
2009,유치원,,	
2009,유치원,여성,
2009,유치원,남성,	
2009,초등학교,,100
2009,초등학교,여성,100
2009,초등학교,남성,100
2009,중고등학교,,100
2009,중고등학교,여성,100
2009,중고등학교,남성,100
2009,고등학교,,100
2009,고등학교,여성,100
2009,고등학교,남성,100
2010,중학교,,100
2010,중학교,FemaleE,100
2010,중학교,남성,100
2010,유치원,,	
2010,유치원,여성,
2010,유치원,남성,	
2010,초등학교,,100
2010,초등학교,여성,100
2010,초등학교,남성,100
2010,중고등학교,,100
2010,중고등학교,여성,100
2010,중고등학교,남성,100
2010,고등학교,,100
2010,고등학교,여성,100
2010,고등학교,남성,100
2011,중학교,,100
2011,중학교,FemaleE,100
2011,중학교,남성,100
2011,유치원,,100	
2011,유치원,여성,100
2011,유치원,남성,100
2011,초등학교,,100
2011,초등학교,여성,100
2011,초등학교,남성,100
2011,중고등학교,,100
2011,중고등학교,여성,100
2011,중고등학교,남성,100
2011,고등학교,,100
2011,고등학교,여성,100
2011,고등학교,남성,100
2012,중학교,,100
2012,중학교,FemaleE,100
2012,중학교,남성,100
2012,유치원,,	
2012,유치원,여성,
2012,유치원,남성,	
2012,초등학교,,100
2012,초등학교,여성,100
2012,초등학교,남성,100
2012,중고등학교,,100
2012,중고등학교,여성,100
2012,중고등학교,남성,100
2012,고등학교,,100
2012,고등학교,여성,100
2012,고등학교,남성,100
2013,중학교,,100
2013,중학교,FemaleE,100
2013,중학교,남성,100
2013,유치원,,100	
2013,유치원,여성,100
2013,유치원,남성,100
2013,초등학교,,100
2013,초등학교,여성,100
2013,초등학교,남성,100
2013,중고등학교,,100
2013,중고등학교,여성,100
2013,중고등학교,남성,100
