Year,장치유형별,성별,연령별,Value
2018,스마트폰,,,91.0
2018,스마트폰,남성,,93.4
2018,스마트폰,여성,,88.6
2018,스마트폰,,6-19,95.5
2018,스마트폰,,20-29,99.9
2018,스마트폰,,30-39,99.9
2018,스마트폰,,40-49,99.7
2018,스마트폰,,50-59,98.4
2018,스마트폰,,60-69,87.5
2018,스마트폰,,70+,36.3
2019,스마트폰,,,92.2
2019,스마트폰,남성,,94.4
2019,스마트폰,여성,,90.0
2019,스마트폰,,6-19,96.6
2019,스마트폰,,20-29,99.9
2019,스마트폰,,30-39,99.9
2019,스마트폰,,40-49,99.9
2019,스마트폰,,50-59,99.8
2019,스마트폰,,60-69,92.0
2019,스마트폰,,70+,40.2
2020,스마트폰,,,93.1
2020,스마트폰,남성,,94.8
2020,스마트폰,여성,,91.3
2020,스마트폰,,6-19,94.7
2020,스마트폰,,20-29,99.6
2020,스마트폰,,30-39,99.5
2020,스마트폰,,40-49,99.5
2020,스마트폰,,50-59,99.9
2020,스마트폰,,60-69,93.1
2020,스마트폰,,70+,53.8
