Year,Units,Value
2000,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,87.2093
2001,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,87.8377
2002,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,88.4681
2003,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,89.1007
2004,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,89.7353
2005,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,90.3683
2006,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,91.0028
2007,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,91.641
2008,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,92.2731
2009,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,92.9056
2010,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,93.5411
2011,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,94.1794
2012,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,94.8203
2013,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,95.4637
2014,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,96.1092
2015,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,96.7568
2016,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,97.4063
2017,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,98.0576
2018,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,98.633
2019,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,99.1922
2020,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,99.4794
2021,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,99.4633
2022,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율,99.4475
2000,노상배변 인구 비율,0.0
2001,노상배변 인구 비율,0.0
2002,노상배변 인구 비율,0.0
2003,노상배변 인구 비율,0.0
2004,노상배변 인구 비율,0.0
2005,노상배변 인구 비율,0.0
2006,노상배변 인구 비율,0.0
2007,노상배변 인구 비율,0.0
2008,노상배변 인구 비율,0.0
2009,노상배변 인구 비율,0.0
2010,노상배변 인구 비율,0.0
2011,노상배변 인구 비율,0.0
2012,노상배변 인구 비율,0.0
2013,노상배변 인구 비율,0.0
2014,노상배변 인구 비율,0.0
2015,노상배변 인구 비율,0.0
2016,노상배변 인구 비율,0.0
2017,노상배변 인구 비율,0.0
2018,노상배변 인구 비율,0.0
2019,노상배변 인구 비율,0.0
2020,노상배변 인구 비율,0.0
2021,노상배변 인구 비율,0.0
2022,노상배변 인구 비율,0.0
