Year,은행서비스별,Value
2004,ATM 개수,208.158009939999
2005,ATM 개수,212.13575440605
2006,ATM 개수,218.236550189578
2007,ATM 개수,234.219408619483
2008,ATM 개수,241.795990202743
2009,ATM 개수,247.090642194762
2010,ATM 개수,265.375150216093
2011,ATM 개수,281.231399925897
2012,ATM 개수,288.445031623041
2013,ATM 개수,288.585452999092
2014,ATM 개수,280.808057799033
2015,ATM 개수,275.880821776724
2016,ATM 개수,271.395911763235
2017,ATM 개수,272.040425674793
2018,ATM 개수,266.967031946223
2004,상업은행 지점수,16.7975690778461
2005,상업은행 지점수,17.3319707747024
2006,상업은행 지점수,17.8238438996295
2007,상업은행 지점수,18.3071375421041
2008,상업은행 지점수,18.696696189598
2009,상업은행 지점수,18.1921552973483
2010,상업은행 지점수,18.1791478775785
2011,상업은행 지점수,18.2208197712459
2012,상업은행 지점수,18.3123684524569
2013,상업은행 지점수,18.0209113651996
2014,상업은행 지점수,17.1967351508063
2015,상업은행 지점수,16.7514660374712
2016,상업은행 지점수,16.2288014664664
2017,상업은행 지점수,15.4054433925079
2018,상업은행 지점수,15.2789245382779
2019,상업은행 지점수,15.1070435770607
