Year,성별,Value
2006,,11172
2006,남성,13064
2006,여성,7915
2007,,12149
2007,남성,14232
2007,여성,8664
2008,,12920
2008,남성,15152
2008,여성,9217
2009,,12382
2009,남성,14503
2009,여성,8856
2010,,12878
2010,남성,15095
2010,여성,9300
2011,,13769
2011,남성,16050
2011,여성,10082
2012,,14967
2012,남성,17317
2012,여성,11228
2013,,16067
2013,남성,18658
2013,여성,12035
2014,,16701
2014,남성,19505
2014,여성,12500
2015,,15978
2015,남성,18681
2015,여성,11915
2016,,16709
2016,남성,19476
2016,여성,12573
2017,,17381
2017,남성,20183
2017,여성,13292
2018,,19522
2018,남성,22515
2018,여성,15265
2019,,20573
2019,남성,23566
2019,여성,16358
2020,,19316
2020,남성,22086
2020,여성,15372
2020,,19806
2020,남성,22632
2020,여성,15802
