Year,구분,Value
2006,약정액,216.5282
2007,약정액,552.1634
2008,약정액,750.4684
2009,약정액,1247.1627
2010,약정액,834.7232
2011,약정액,840.9402
2012,약정액,870.495
2013,약정액,758.1347
2014,약정액,1095.5567
2015,약정액,953.5117
2016,약정액,1086.7894
2017,약정액,1212.9379
2018,약정액,1540.5696
2019,약정액,1487.054
2020,약정액,530.6854
2021,약정액,1696.8953
2006,집행액,164.8053
2007,집행액,180.311
2008,집행액,276.5405
2009,집행액,313.8754
2010,집행액,392.2579
2011,집행액,454.4012
2012,집행액,478.9407
2013,집행액,583.9958
2014,집행액,546.9012
2015,집행액,628.071
2016,집행액,605.2206
2017,집행액,570.3003
2018,집행액,644.5869
2019,집행액,727.8021
2020,집행액,434.4855
2021,집행액,633.2364
