Year,성별,연령별,Value
2017,,,17001.0
2017,,20대 이하,141.0
2017,,20대,436.0
2017,,30대,2143.0
2017,,40대,3921.0
2017,,50대,4421.0
2017,,60대,3289.0
2017,,70대,2076.0
2017,,80대 이상,1273.0
2017,남,,9648.8
2017,남,20대 이하,88.4
2017,남,20대,258.2
2017,남,30대,1280.8
2017,남,40대,2168.3
2017,남,50대,2388.0
2017,남,60대,1834.8
2017,남,70대,1192.4
2017,남,80대 이상,850.8
2017,여,,7352.2
2017,여,20대 이하,52.6
2017,여,20대,177.8
2017,여,30대,862.2
2017,여,40대,1752.7
2017,여,50대,2033.0
2017,여,60대,1454.2
2017,여,70대,883.6
2017,여,80대 이상,422.2
2018,,,17322.1
2018,,20대 이하,41.6
2018,,20대,343.9
2018,,30대,2051.7
2018,,40대,3794.3
2018,,50대,4425.4
2018,,60대,3349.0
2018,,70대,2053.7
2018,,80대 이상,1262.5
2018,남,,9759.8
2018,남,20대 이하,25.8
2018,남,20대,201.9
2018,남,30대,1222.8
2018,남,40대,2101.6
2018,남,50대,2362.6
2018,남,60대,1845.3
2018,남,70대,1165.7
2018,남,80대 이상,834.2
2018,여,,7562.3
2018,여,20대 이하,15.8
2018,여,20대,141.9
2018,여,30대,828.9
2018,여,40대,1692.7
2018,여,50대,2062.9
2018,여,60대,1503.7
2018,여,70대,888.0
2018,여,80대 이상,428.3
2019,,,17674.817
2019,,20대 이하,42.622
2019,,20대,343.637
2019,,30대,1972.863
2019,,40대,3788.656
2019,,50대,4491.063
2019,,60대,3552.955
2019,,70대,2119.058
2019,,80대 이상,1363.963
2019,남,,9892.711
2019,남,20대 이하,26.231
2019,남,20대,200.997
2019,남,30대,1175.444
2019,남,40대,2102.544
2019,남,50대,2377.852
2019,남,60대,1931.324
2019,남,70대,1188.466
2019,남,80대 이상,889.853
2019,여,,7782.106
2019,여,20대 이하,16.391
2019,여,20대,142.64
2019,여,30대,797.419
2019,여,40대,1686.112
2019,여,50대,2113.211
2019,여,60대,1621.631
2019,여,70대,930.592
2019,여,80대 이상,474.11
