Year,Units,접근지별,교통수단별,소요시간별(분 이내),Value
2016,광역교통시설,2.철도역,승용차,15,28.04
2016,광역교통시설,2.철도역,승용차,30,91.06
2016,광역교통시설,2.철도역,승용차,45,100.0
2016,광역교통시설,2.철도역,승용차,60,100.0
2016,광역교통시설,2.철도역,대중교통/도보,15,7.44
2016,광역교통시설,2.철도역,대중교통/도보,30,46.55
2016,광역교통시설,2.철도역,대중교통/도보,45,96.53
2016,광역교통시설,2.철도역,대중교통/도보,60,100.0
2016,광역교통시설,1.버스터미널,승용차,15,39.81
2016,광역교통시설,1.버스터미널,승용차,30,97.98
2016,광역교통시설,1.버스터미널,승용차,45,99.99
2016,광역교통시설,1.버스터미널,승용차,60,100.0
2016,광역교통시설,1.버스터미널,대중교통/도보,15,14.46
2016,광역교통시설,1.버스터미널,대중교통/도보,30,74.57
2016,광역교통시설,1.버스터미널,대중교통/도보,45,99.78
2016,광역교통시설,1.버스터미널,대중교통/도보,60,100.0
2016,광역교통시설,3.공항,승용차,15,1.54
2016,광역교통시설,3.공항,승용차,30,12.74
2016,광역교통시설,3.공항,승용차,45,39.26
2016,광역교통시설,3.공항,승용차,60,69.61
2016,광역교통시설,3.공항,대중교통/도보,15,0.0
2016,광역교통시설,3.공항,대중교통/도보,30,1.78
2016,광역교통시설,3.공항,대중교통/도보,45,13.16
2016,광역교통시설,3.공항,대중교통/도보,60,37.03
