Year,Units,어업별,Value
2000,생산량,,2514225
2001,생산량,,2665124
2002,생산량,,2476188
2003,생산량,,2487042
2004,생산량,,2519101
2005,생산량,,2714050
2006,생산량,,3032116
2007,생산량,,3274823
2008,생산량,,3361255
2009,생산량,,3182342
2010,생산량,,3110634
2011,생산량,,3255929
2012,생산량,,3183424
2013,생산량,,3135250
2014,생산량,,3304228
2015,생산량,,3337383
2016,생산량,,3269432
2017,생산량,,3724711
2018,생산량,,3770057
2019,생산량,,3860969
2020 p),생산량,,3712518
2000,생산금액,,4066447411
2001,생산금액,,4252897861
2002,생산금액,,4205241656
2003,생산금액,,4770818670
2004,생산금액,,4731322329
2005,생산금액,,5049321385
2006,생산금액,,5285860057
2007,생산금액,,5751945576
2008,생산금액,,6345058101
2009,생산금액,,6924248502
2010,생산금액,,7425685572
2011,생산금액,,8072860450
2012,생산금액,,7689050760
2013,생산금액,,7226886951
2014,생산금액,,7351991851
2015,생산금액,,7257464629
2016,생산금액,,7476747061
2017,생산금액,,8566870876
2018,생산금액,,8608418348
2019,생산금액,,8366328166
2020 p),생산금액,,8758203427
2000,생산량,일반해면어업,1189000
2001,생산량,일반해면어업,1252099
2002,생산량,일반해면어업,1095812
2003,생산량,일반해면어업,1096526
2004,생산량,일반해면어업,1076687
2005,생산량,일반해면어업,1097041
2006,생산량,일반해면어업,1108815
2007,생산량,일반해면어업,1152299
2008,생산량,일반해면어업,1284890
2009,생산량,일반해면어업,1226966
2010,생산량,일반해면어업,1132536
2011,생산량,일반해면어업,1235489
2012,생산량,일반해면어업,1091034
2013,생산량,일반해면어업,1044697
2014,생산량,일반해면어업,1058598
2015,생산량,일반해면어업,1058319
2016,생산량,일반해면어업,907580
2017,생산량,일반해면어업,926941
2018,생산량,일반해면어업,1011536
2019,생산량,일반해면어업,911852
2020 p),생산량,일반해면어업,932308
2000,생산량,천해양식어업,653373
2001,생산량,천해양식어업,655827
2002,생산량,천해양식어업,781519
2003,생산량,천해양식어업,826245
2004,생산량,천해양식어업,917715
2005,생산량,천해양식어업,1041074
2006,생산량,천해양식어업,1259274
2007,생산량,천해양식어업,1385804
2008,생산량,천해양식어업,1381003
2009,생산량,천해양식어업,1313355
2010,생산량,천해양식어업,1355000
2011,생산량,천해양식어업,1477546
2012,생산량,천해양식어업,1488950
2013,생산량,천해양식어업,1515210
2014,생산량,천해양식어업,1546715
2015,생산량,천해양식어업,1667872
2016,생산량,천해양식어업,1872400
2017,생산량,천해양식어업,2315775
2018,생산량,천해양식어업,2249605
2019,생산량,천해양식어업,2410040
2020 p),생산량,천해양식어업,2309271
2000,생산량,원양어업,651267
2001,생산량,원양어업,739057
2002,생산량,원양어업,580346
2003,생산량,원양어업,544591
