Year,공공서비스 유형별,경험여부,만족도,Value
2016,공청회·청문회,경험했다,,1.7
2016,공청회·청문회,경험했다,1 전혀 만족하지 않는다,12.7
2016,공청회·청문회,경험했다,2 별로 만족하지 않는다,26.7
2016,공청회·청문회,경험했다,3 보통이다,44.0
2016,공청회·청문회,경험했다,4 약간 만족한다,16.2
2016,공청회·청문회,경험했다,5 매우 만족한다,0.5
2016,공청회·청문회,경험하지 않았다,,98.3
2016,주민참여예산,경험했다,,2.2
2016,주민참여예산,경험했다,1 전혀 만족하지 않는다,5.4
2016,주민참여예산,경험했다,2 별로 만족하지 않는다,12.3
2016,주민참여예산,경험했다,3 보통이다,38.3
2016,주민참여예산,경험했다,4 약간 만족한다,40.6
2016,주민참여예산,경험했다,5 매우 만족한다,3.4
2016,주민참여예산,경험하지 않았다,,97.8
2016,주민자치센터,경험했다,,47.3
2016,주민자치센터,경험했다,1 전혀 만족하지 않는다,0.4
2016,주민자치센터,경험했다,2 별로 만족하지 않는다,2.3
2016,주민자치센터,경험했다,3 보통이다,22.6
2016,주민자치센터,경험했다,4 약간 만족한다,57.3
2016,주민자치센터,경험했다,5 매우 만족한다,17.3
2016,주민자치센터,경험하지 않았다,,52.7
2016,인허가 서비스,경험했다,,6.1
2016,인허가 서비스,경험했다,1 전혀 만족하지 않는다,3.2
2016,인허가 서비스,경험했다,2 별로 만족하지 않는다,5.4
2016,인허가 서비스,경험했다,3 보통이다,42.1
2016,인허가 서비스,경험했다,4 약간 만족한다,39.2
2016,인허가 서비스,경험했다,5 매우 만족한다,10.1
2016,인허가 서비스,경험하지 않았다,,93.9
2016,인터넷 민원발급,경험했다,,24.6
2016,인터넷 민원발급,경험했다,1 전혀 만족하지 않는다,1.5
2016,인터넷 민원발급,경험했다,2 별로 만족하지 않는다,4.2
2016,인터넷 민원발급,경험했다,3 보통이다,23.7
2016,인터넷 민원발급,경험했다,4 약간 만족한다,46.0
2016,인터넷 민원발급,경험했다,5 매우 만족한다,24.7
