Year,구분,성별,연령별,Value
2013,,,,39.8
2014,,,,45.6
2015,,,,42.7
2016,,,,46.6
2017,,,,43.4
2018,,,,43.1
2019,,,,40.6
2013,도시,,,39.4
2014,도시,,,44.9
2015,도시,,,42.6
2016,도시,,,46.6
2017,도시,,,43.6
2018,도시,,,43.8
2019,도시,,,40.2
2013,농촌,,,42.5
2014,농촌,,,49.5
2015,농촌,,,42.6
2016,농촌,,,46.4
2017,농촌,,,42.4
2018,농촌,,,39.8
2019,농촌,,,42.6
2013,,남성,,39.8
2014,,남성,,45.3
2015,,남성,,41.6
2016,,남성,,44.9
2017,,남성,,42.3
2018,,남성,,41.5
2019,,남성,,39.7
2013,,여성,,40.0
2014,,여성,,46.0
2015,,여성,,43.7
2016,,여성,,48.4
2017,,여성,,44.6
2018,,여성,,44.9
2019,,여성,,41.6
2013,,,19~29,35.1
2014,,,19~29,40.6
2015,,,19~29,38.7
2016,,,19~29,45.2
2017,,,19~29,41.4
2018,,,19~29,40.6
2019,,,19~29,37.6
2013,,,30대,38.7
2014,,,30대,43.8
2015,,,30대,41.8
2016,,,30대,42.5
2017,,,30대,39.4
2018,,,30대,39.8
2019,,,30대,34.9
2013,,,40대,38.9
2014,,,40대,41.9
2015,,,40대,39.8
2016,,,40대,44.5
2017,,,40대,41.3
2018,,,40대,42.9
2019,,,40대,39.3
2013,,,50대,41.8
2014,,,50대,50.9
2015,,,50대,43.5
2016,,,50대,51.3
2017,,,50대,46.6
2018,,,50대,44.7
2019,,,50대,45.1
2013,,,60대,48.6
2014,,,60대,55.0
2015,,,60대,53.2
2016,,,60대,50.1
2017,,,60대,49.8
2018,,,60대,48.2
2019,,,60대,46.2
