Year,이유별,Value
2019,① 남자 또는 여자라는 이유로,13.9
2019,② 나이가 많거나 적다는 이유로,13.6
2019,③ 직업이나 소득 등 경제적 지위를 이유로,10.3
2019,④ 비정규직 등 고용형태를 이유로,7.8
2019,⑤ 학력이나 학벌을 이유로,7.7
2019,"⑥ 키, 몸무게, 용모 등 신체조건을 이유로",6.6
2019,⑦ 사상 또는 정치적인 입장의 차이로,4.1
2019,"⑧ 미혼(비혼), 이혼, 사별 등 혼인상황을 이유로",3.3
2019,⑨ 출신지역을 이유로,2.7
2019,⑩ 임신 또는 출산을 했다는 이유로,2.6
2019,⑪ 질병 및 병력을 가지고 있다는 이유로,2.3
2019,⑫ 종교를 이유로,2.2
2019,⑬ 장애를 이유로,1.7
2019,"⑭ 인종, 피부색, 출신국가, 출신민족을 이유로",1.4
2019,"⑮ 한부모, 미혼(비혼) 모/부 등 가족상황을 이유로",1.2
2020,① 남자 또는 여자라는 이유로,11.8
2020,② 나이가 많거나 적다는 이유로,12.9
2020,③ 직업이나 소득 등 경제적 지위를 이유로,13.0
2020,④ 비정규직 등 고용형태를 이유로,11.0
2020,⑤ 학력이나 학벌을 이유로,8.7
2020,"⑥ 키, 몸무게, 용모 등 신체조건을 이유로",5.7
2020,⑦ 사상 또는 정치적인 입장의 차이로,6.8
2020,"⑧ 미혼(비혼), 이혼, 사별 등 혼인상황을 이유로",4.0
2020,⑨ 출신지역을 이유로,3.6
2020,⑩ 임신 또는 출산을 했다는 이유로,2.1
2020,⑪ 질병 및 병력을 가지고 있다는 이유로,2.7
2020,⑫ 종교를 이유로,2.5
2020,⑬ 장애를 이유로,2.0
2020,"⑭ 인종, 피부색, 출신국가, 출신민족을 이유로",1.6
2020,"⑮ 한부모, 미혼(비혼) 모/부 등 가족상황을 이유로",2.2
2020,data.17_Gender identity,0.0
2020,data.17_Etc,0.1
2021,① 남자 또는 여자라는 이유로,7.6
2021,② 나이가 많거나 적다는 이유로,7.5
2021,③ 직업이나 소득 등 경제적 지위를 이유로,6.2
2021,④ 비정규직 등 고용형태를 이유로,5.4
2021,⑤ 학력이나 학벌을 이유로,4.5
2021,"⑥ 키, 몸무게, 용모 등 신체조건을 이유로",3.0
2021,⑦ 사상 또는 정치적인 입장의 차이로,2.6
2021,"⑧ 미혼(비혼), 이혼, 사별 등 혼인상황을 이유로",1.8
2021,⑨ 출신지역을 이유로,1.8
2021,⑩ 임신 또는 출산을 했다는 이유로,1.6
2021,⑪ 질병 및 병력을 가지고 있다는 이유로,1.4
2021,⑫ 종교를 이유로,1.4
2021,⑬ 장애를 이유로,1.4
2021,"⑭ 인종, 피부색, 출신국가, 출신민족을 이유로",1.0
2021,"⑮ 한부모, 미혼(비혼) 모/부 등 가족상황을 이유로",1.2
2021,data.17_Gender identity,0.0
2021,data.17_Etc,0.0
2022,① 남자 또는 여자라는 이유로,5.4
2022,② 나이가 많거나 적다는 이유로,5.2
2022,③ 직업이나 소득 등 경제적 지위를 이유로,4.0
2022,④ 비정규직 등 고용형태를 이유로,3.2
2022,⑤ 학력이나 학벌을 이유로,2.5
2022,"⑥ 키, 몸무게, 용모 등 신체조건을 이유로",2.0
2022,⑦ 사상 또는 정치적인 입장의 차이로,1.6
2022,"⑧ 미혼(비혼), 이혼, 사별 등 혼인상황을 이유로",1.0
2022,⑨ 출신지역을 이유로,1.2
2022,⑩ 임신 또는 출산을 했다는 이유로,1.0
2022,⑪ 질병 및 병력을 가지고 있다는 이유로,1.0
2022,⑫ 종교를 이유로,0.8
2022,⑬ 장애를 이유로,0.9
2022,"⑭ 인종, 피부색, 출신국가, 출신민족을 이유로",0.6
2022,"⑮ 한부모, 미혼(비혼) 모/부 등 가족상황을 이유로",0.9
2022,data.17_Gender identity,0.7
2022,data.17_Etc,0.0
