Year,Time serieses,유형별,Value
2000,특혜지위,농산품,10.24572
2005,특혜지위,농산품,11.04442
2010,특혜지위,농산품,10.60588
2011,특혜지위,농산품,6.19085
2012,특혜지위,농산품,5.5231
2013,특혜지위,농산품,5.19522
2014,특혜지위,농산품,4.88385
2015,특혜지위,농산품,4.47635
2016,특혜지위,농산품,4.06457
2017,특혜지위,농산품,3.51956
2018,특혜지위,농산품,4.03987
2019,특혜지위,농산품,3.82292
2000,특혜지위,전체 혹은 감면없음,1.98015
2005,특혜지위,전체 혹은 감면없음,1.84785
2010,특혜지위,전체 혹은 감면없음,1.5983
2011,특혜지위,전체 혹은 감면없음,1.1392
2012,특혜지위,전체 혹은 감면없음,1.1529
2013,특혜지위,전체 혹은 감면없음,0.6988
2014,특혜지위,전체 혹은 감면없음,0.58898
2015,특혜지위,전체 혹은 감면없음,0.53009
2016,특혜지위,전체 혹은 감면없음,0.16647
2017,특혜지위,전체 혹은 감면없음,0.18639
2018,특혜지위,전체 혹은 감면없음,0.12896
2019,특혜지위,전체 혹은 감면없음,0.13903
2000,특혜지위,무기,1.04129
2005,특혜지위,무기,0.96376
2010,특혜지위,무기,0.96139
2011,특혜지위,무기,0.59477
2012,특혜지위,무기,0.63105
2013,특혜지위,무기,0.28081
2014,특혜지위,무기,0.28081
2015,특혜지위,무기,0.28052
2016,특혜지위,무기,0.03395
2017,특혜지위,무기,0.03326
2018,특혜지위,무기,0.03326
2019,특혜지위,무기,0.03326
2000,특혜지위,의류,13.28555
2005,특혜지위,의류,12.33657
2010,특혜지위,의류,12.52568
2011,특혜지위,의류,9.00536
2012,특혜지위,의류,9.00782
2013,특혜지위,의류,3.19203
2014,특혜지위,의류,3.00212
2015,특혜지위,의류,2.54647
2016,특혜지위,의류,2.14519
2017,특혜지위,의류,1.86969
2018,특혜지위,의류,1.77323
2019,특혜지위,의류,1.67627
2000,특혜지위,공산품,1.87223
2005,특혜지위,공산품,1.74735
2010,특혜지위,공산품,1.49463
2011,특혜지위,공산품,1.06726
2012,특혜지위,공산품,1.08191
2013,특혜지위,공산품,0.67177
2014,특혜지위,공산품,0.5631
2015,특혜지위,공산품,0.50801
2016,특혜지위,공산품,0.14473
2017,특혜지위,공산품,0.16786
2018,특혜지위,공산품,0.11002
2019,특혜지위,공산품,0.10121
2000,특혜지위,기름,0.29983
2005,특혜지위,기름,0.16938
2010,특혜지위,기름,0.0
2011,특혜지위,기름,0.0
2012,특혜지위,기름,0.0
2013,특혜지위,기름,0.0
2014,특혜지위,기름,0.0
2015,특혜지위,기름,0.0
2016,특혜지위,기름,0.0
2017,특혜지위,기름,0.0
2018,특혜지위,기름,0.0
2019,특혜지위,기름,0.0
2000,특혜지위,섬유,8.39318
2005,특혜지위,섬유,7.11916
2010,특혜지위,섬유,6.91516
2011,특혜지위,섬유,4.48744
2012,특혜지위,섬유,4.46561
2013,특혜지위,섬유,2.1636
2014,특혜지위,섬유,1.90122
