Year,Units,Value
2015,data.Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),1
2016,data.Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),1
2017,data.Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),1
2018,data.Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),1
2019,data.Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),1
2015,인구주택총조사실시,1
2015,75%이상 사망등록,1
2016,75%이상 사망등록,1
2017,75%이상 사망등록,1
2018,75%이상 사망등록,1
2019,75%이상 사망등록,1
