Year,성별,연령별,거주지역별,소득수준별,Value
2001,,,,,18.4
2001,,01~02,,,15.7
2001,,03~05,,,16.8
2001,,06~11,,,16.1
2001,,12~18,,,21.5
2001,,19~29,,,20.8
2001,,30~49,,,15.5
2001,,50~64,,,17.4
2001,,65~,,,27.8
2001,,,동,,18.0
2001,,,읍/면,,20.0
2001,,,,하,24.2
2001,,,,data.Lower-middle,21.6
2001,,,,중,16.5
2001,,,,data.Upper-middle,16.8
2001,,,,상,13.2
2001,남성,,,,14.2
2001,남성,01~02,,,15.2
2001,남성,03~05,,,13.0
2001,남성,06~11,,,13.3
2001,남성,12~18,,,18.9
2001,남성,19~29,,,17.3
2001,남성,30~49,,,10.6
2001,남성,50~64,,,13.8
2001,남성,65~,,,20.9
2001,남성,,동,,13.7
2001,남성,,읍/면,,16.4
2001,남성,,,하,19.4
2001,남성,,,data.Lower-middle,17.7
2001,남성,,,중,11.3
2001,남성,,,data.Upper-middle,13.2
2001,남성,,,상,10.4
2001,여성,,,,22.1
2001,여성,01~02,,,16.2
2001,여성,03~05,,,21.3
2001,여성,06~11,,,19.3
2001,여성,12~18,,,24.1
2001,여성,19~29,,,23.7
2001,여성,30~49,,,19.9
2001,여성,50~64,,,20.3
2001,여성,65~,,,32.1
2001,여성,,동,,21.9
2001,여성,,읍/면,,23.2
2001,여성,,,하,28.4
2001,여성,,,data.Lower-middle,25.3
2001,여성,,,중,21.4
2001,여성,,,data.Upper-middle,19.9
2001,여성,,,상,15.7
2005,,,,,11.6
2005,,01~02,,,8.7
2005,,03~05,,,7.1
2005,,06~11,,,6.7
2005,,12~18,,,14.5
2005,,19~29,,,16.0
2005,,30~49,,,10.2
2005,,50~64,,,9.7
2005,,65~,,,15.8
2005,,,동,,11.4
2005,,,읍/면,,12.3
2005,,,,하,14.1
2005,,,,data.Lower-middle,12.8
2005,,,,중,9.9
2005,,,,data.Upper-middle,9.5
2005,,,,상,11.5
2005,남성,,,,9.4
2005,남성,01~02,,,4.9
2005,남성,03~05,,,6.6
2005,남성,06~11,,,6.6
2005,남성,12~18,,,15.2
2005,남성,19~29,,,12.5
2005,남성,30~49,,,7.0
2005,남성,50~64,,,8.7
2005,남성,65~,,,13.8
2005,남성,,동,,9.3
2005,남성,,읍/면,,10.0
2005,남성,,,하,12.3
2005,남성,,,data.Lower-middle,12.1
2005,남성,,,중,7.4
2005,남성,,,data.Upper-middle,6.8
2005,남성,,,상,8.8
2005,여성,,,,13.7
2005,여성,01~02,,,12.9
2005,여성,03~05,,,7.6
2005,여성,06~11,,,6.8
2005,여성,12~18,,,13.6
2005,여성,19~29,,,19.7
2005,여성,30~49,,,13.6
2005,여성,50~64,,,10.6
2005,여성,65~,,,17.2
2005,여성,,동,,13.6
2005,여성,,읍/면,,14.6
2005,여성,,,하,16.0
2005,여성,,,data.Lower-middle,13.6
2005,여성,,,중,12.5
2005,여성,,,data.Upper-middle,12.0
2005,여성,,,상,14.1
2007,,,,,17.1
2007,,01~02,,,18.1
2007,,03~05,,,15.5
2007,,06~11,,,11.3
2007,,12~18,,,19.9
2007,,19~29,,,21.8
2007,,30~49,,,14.1
2007,,50~64,,,13.7
2007,,65~,,,27.5
2007,,,동,,17.4
2007,,,읍/면,,16.2
2007,,,,하,21.0
2007,,,,data.Lower-middle,16.8
2007,,,,중,15.2
2007,,,,data.Upper-middle,19.0
2007,,,,상,13.2
2007,남성,,,,11.3
2007,남성,01~02,,,16.0
2007,남성,03~05,,,16.9
2007,남성,06~11,,,12.0
2007,남성,12~18,,,20.9
2007,남성,19~29,,,13.6
2007,남성,30~49,,,5.0
2007,남성,50~64,,,7.1
2007,남성,65~,,,24.2
2007,남성,,동,,11.3
2007,남성,,읍/면,,11.1
2007,남성,,,하,14.7
2007,남성,,,data.Lower-middle,8.9
2007,남성,,,중,8.5
2007,남성,,,data.Upper-middle,16.5
2007,남성,,,상,6.8
2007,여성,,,,23.0
2007,여성,01~02,,,21.0
2007,여성,03~05,,,14.2
2007,여성,06~11,,,10.5
2007,여성,12~18,,,18.7
2007,여성,19~29,,,30.2
2007,여성,30~49,,,23.6
2007,여성,50~64,,,20.1
2007,여성,65~,,,29.7
2007,여성,,동,,23.3
2007,여성,,읍/면,,21.9
2007,여성,,,하,27.6
2007,여성,,,data.Lower-middle,25.2
2007,여성,,,중,22.2
2007,여성,,,data.Upper-middle,21.5
2007,여성,,,상,19.6
2008,,,,,13.8
2008,,01~02,,,7.6
2008,,03~05,,,6.7
2008,,06~11,,,6.8
2008,,12~18,,,20.0
2008,,19~29,,,20.7
2008,,30~49,,,11.2
2008,,50~64,,,9.3
2008,,65~,,,20.5
2008,,,동,,13.6
2008,,,읍/면,,14.6
2008,,,,하,17.9
2008,,,,data.Lower-middle,15.0
2008,,,,중,13.1
2008,,,,data.Upper-middle,11.7
2008,,,,상,10.4
2008,남성,,,,10.8
2008,남성,01~02,,,8.8
2008,남성,03~05,,,7.2
2008,남성,06~11,,,5.0
2008,남성,12~18,,,19.8
2008,남성,19~29,,,16.6
2008,남성,30~49,,,7.8
2008,남성,50~64,,,6.7
2008,남성,65~,,,15.2
2008,남성,,동,,10.4
2008,남성,,읍/면,,12.3
2008,남성,,,하,14.1
2008,남성,,,data.Lower-middle,12.9
2008,남성,,,중,10.3
2008,남성,,,data.Upper-middle,8.5
2008,남성,,,상,8.0
2008,여성,,,,16.8
2008,여성,01~02,,,6.7
2008,여성,03~05,,,6.1
2008,여성,06~11,,,8.8
2008,여성,12~18,,,20.3
