Year,거주지역별,소득수준별,Value
2005,,,87.9
2005,동,,88.2
2005,읍면,,86.6
2005,,하,73.4
2005,,중하,86.4
2005,,중,92.0
2005,,중상,94.3
2005,,상,99.7
2007,,,89.0
2007,동,,90.2
2007,읍면,,85.0
2007,,하,72.8
2007,,중하,87.2
2007,,중,96.4
2007,,중상,98.1
2007,,상,99.3
2008,,,88.2
2008,동,,89.2
2008,읍면,,84.0
2008,,하,70.7
2008,,중하,88.0
2008,,중,92.3
2008,,중상,96.6
2008,,상,99.0
2009,,,92.0
2009,동,,92.4
2009,읍면,,90.7
2009,,하,80.6
2009,,중하,93.2
2009,,중,94.4
2009,,중상,97.8
2009,,상,99.6
2010,,,95.4
2010,동,,95.0
2010,읍면,,96.6
2010,,하,88.1
2010,,중하,97.5
2010,,중,98.6
2010,,중상,99.6
2010,,상,99.2
2011,,,95.2
2011,동,,95.5
2011,읍면,,94.4
2011,,하,88.2
2011,,중하,97.1
2011,,중,98.7
2011,,중상,98.6
2011,,상,99.7
2012,,,92.2
2012,동,,92.1
2012,읍면,,92.3
2012,,하,82.1
2012,,중하,92.6
2012,,중,98.7
2012,,중상,98.7
2012,,상,99.6
2013,,,93.5
2013,동,,92.8
2013,읍면,,96.2
2013,,하,82.1
2013,,중하,95.9
2013,,중,98.2
2013,,중상,98.5
2013,,상,99.5
2014,,,93.8
2014,동,,93.8
2014,읍면,,94.0
2014,,하,84.9
2014,,중하,93.4
2014,,중,97.6
2014,,중상,99.6
2014,,상,99.5
2015,,,93.5
2015,동,,93.4
2015,읍면,,93.8
2015,,하,84.4
2015,,중하,94.3
2015,,중,95.0
2015,,중상,98.8
2015,,상,99.7
2016,,,95.8
2016,동,,95.9
2016,읍면,,95.2
2016,,하,89.2
2016,,중하,96.1
2016,,중,97.9
2016,,중상,99.7
2016,,상,99.5
2017,,,96.3
2017,동,,96.5
2017,읍면,,94.9
2017,,하,88.2
2017,,중하,94.9
2017,,중,98.4
2017,,중상,99.8
2017,,상,99.5
2018,,,96.9
2018,동,,97.1
2018,읍면,,96.0
2018,,하,88.5
2018,,중하,97.7
2018,,중,98.6
2018,,중상,99.5
2018,,상,99.9
