Year,경지규모별,Value
2003,,12.3
2003,① 0~0.5 ha,6.0
2003,② 0.5~1.0 ha,7.0
2003,③ 1.0~1.5 ha,10.0
2003,④ 1.5~2.0 ha,12.0
2003,⑤ 2.0~3.0 ha,12.0
2003,⑥ 3.0~5.0 ha,13.0
2003,⑦ 5.0~7.0 ha,15.0
2003,⑧ 7.0~10.0 ha,18.0
2003,⑨ 10.0 ha~,17.0
2004,,13.4
2004,① 0~0.5 ha,8.0
2004,② 0.5~1.0 ha,10.0
2004,③ 1.0~1.5 ha,10.0
2004,④ 1.5~2.0 ha,11.0
2004,⑤ 2.0~3.0 ha,12.0
2004,⑥ 3.0~5.0 ha,14.0
2004,⑦ 5.0~7.0 ha,16.0
2004,⑧ 7.0~10.0 ha,18.0
2004,⑨ 10.0 ha~,21.0
2005,,12.9
2005,① 0~0.5 ha,9.0
2005,② 0.5~1.0 ha,10.0
2005,③ 1.0~1.5 ha,11.0
2005,④ 1.5~2.0 ha,12.0
2005,⑤ 2.0~3.0 ha,13.0
2005,⑥ 3.0~5.0 ha,14.0
2005,⑦ 5.0~7.0 ha,14.0
2005,⑧ 7.0~10.0 ha,18.0
2005,⑨ 10.0 ha~,15.0
2006,,14.6
2006,① 0~0.5 ha,9.0
2006,② 0.5~1.0 ha,10.0
2006,③ 1.0~1.5 ha,11.0
2006,④ 1.5~2.0 ha,12.0
2006,⑤ 2.0~3.0 ha,14.0
2006,⑥ 3.0~5.0 ha,15.0
2006,⑦ 5.0~7.0 ha,15.0
2006,⑧ 7.0~10.0 ha,22.0
2006,⑨ 10.0 ha~,23.0
2007,,13.7
2007,① 0~0.5 ha,8.0
2007,② 0.5~1.0 ha,11.0
2007,③ 1.0~1.5 ha,10.0
2007,④ 1.5~2.0 ha,12.0
2007,⑤ 2.0~3.0 ha,13.0
2007,⑥ 3.0~5.0 ha,14.0
2007,⑦ 5.0~7.0 ha,17.0
2007,⑧ 7.0~10.0 ha,20.0
2007,⑨ 10.0 ha~,18.0
2008,,15.0
2008,① 0~0.5 ha,8.0
2008,② 0.5~1.0 ha,10.0
2008,③ 1.0~1.5 ha,11.0
2008,④ 1.5~2.0 ha,13.0
2008,⑤ 2.0~3.0 ha,15.0
2008,⑥ 3.0~5.0 ha,15.0
2008,⑦ 5.0~7.0 ha,16.0
2008,⑧ 7.0~10.0 ha,25.0
2008,⑨ 10.0 ha~,22.0
2009,,15.6
2009,① 0~0.5 ha,8.0
2009,② 0.5~1.0 ha,13.0
2009,③ 1.0~1.5 ha,13.0
2009,④ 1.5~2.0 ha,14.0
2009,⑤ 2.0~3.0 ha,15.0
2009,⑥ 3.0~5.0 ha,15.0
2009,⑦ 5.0~7.0 ha,17.0
2009,⑧ 7.0~10.0 ha,21.0
2009,⑨ 10.0 ha~,24.0
2010,,17.3
2010,① 0~0.5 ha,9.0
2010,② 0.5~1.0 ha,15.0
2010,③ 1.0~1.5 ha,14.0
2010,④ 1.5~2.0 ha,13.0
2010,⑤ 2.0~3.0 ha,15.0
2010,⑥ 3.0~5.0 ha,19.0
2010,⑦ 5.0~7.0 ha,18.0
2010,⑧ 7.0~10.0 ha,26.0
2010,⑨ 10.0 ha~,26.0
2011,,17.9
2011,① 0~0.5 ha,8.0
2011,② 0.5~1.0 ha,11.0
2011,③ 1.0~1.5 ha,15.0
2011,④ 1.5~2.0 ha,13.0
2011,⑤ 2.0~3.0 ha,16.0
2011,⑥ 3.0~5.0 ha,18.0
2011,⑦ 5.0~7.0 ha,15.0
2011,⑧ 7.0~10.0 ha,34.0
2011,⑨ 10.0 ha~,31.0
2012,,19.4
2012,① 0~0.5 ha,7.0
2012,② 0.5~1.0 ha,11.0
2012,③ 1.0~1.5 ha,17.0
2012,④ 1.5~2.0 ha,15.0
2012,⑤ 2.0~3.0 ha,17.0
2012,⑥ 3.0~5.0 ha,22.0
2012,⑦ 5.0~7.0 ha,24.0
2012,⑧ 7.0~10.0 ha,34.0
2012,⑨ 10.0 ha~,27.0
2013,,18.4
2013,① 0~0.5 ha,8.0
2013,② 0.5~1.0 ha,11.0
2013,③ 1.0~1.5 ha,16.0
2013,④ 1.5~2.0 ha,19.0
2013,⑤ 2.0~3.0 ha,18.0
2013,⑥ 3.0~5.0 ha,22.0
2013,⑦ 5.0~7.0 ha,24.0
2013,⑧ 7.0~10.0 ha,22.0
2013,⑨ 10.0 ha~,25.0
2014,,20.4
2014,① 0~0.5 ha,9.0
2014,② 0.5~1.0 ha,13.0
2014,③ 1.0~1.5 ha,17.0
2014,④ 1.5~2.0 ha,18.0
2014,⑤ 2.0~3.0 ha,18.0
2014,⑥ 3.0~5.0 ha,22.0
2014,⑦ 5.0~7.0 ha,26.0
2014,⑧ 7.0~10.0 ha,32.0
2014,⑨ 10.0 ha~,28.0
2015,,23.8
2015,① 0~0.5 ha,10.0
2015,② 0.5~1.0 ha,15.0
2015,③ 1.0~1.5 ha,16.0
2015,④ 1.5~2.0 ha,19.0
2015,⑤ 2.0~3.0 ha,24.0
2015,⑥ 3.0~5.0 ha,25.0
2015,⑦ 5.0~7.0 ha,36.0
2015,⑧ 7.0~10.0 ha,36.0
2015,⑨ 10.0 ha~,33.0
2016,,24.3
2016,① 0~0.5 ha,10.0
2016,② 0.5~1.0 ha,15.0
2016,③ 1.0~1.5 ha,18.0
2016,④ 1.5~2.0 ha,18.0
2016,⑤ 2.0~3.0 ha,24.0
2016,⑥ 3.0~5.0 ha,27.0
2016,⑦ 5.0~7.0 ha,31.0
2016,⑧ 7.0~10.0 ha,42.0
2016,⑨ 10.0 ha~,33.0
2017,,27.0
2017,① 0~0.5 ha,8.0
2017,② 0.5~1.0 ha,16.0
2017,③ 1.0~1.5 ha,19.0
2017,④ 1.5~2.0 ha,20.0
2017,⑤ 2.0~3.0 ha,26.0
2017,⑥ 3.0~5.0 ha,29.0
2017,⑦ 5.0~7.0 ha,41.0
2017,⑧ 7.0~10.0 ha,42.0
2017,⑨ 10.0 ha~,42.0
2018,,24.0
2018,① 0~0.5 ha,8.0
2018,② 0.5~1.0 ha,13.0
2018,③ 1.0~1.5 ha,14.0
2018,④ 1.5~2.0 ha,18.0
2018,⑤ 2.0~3.0 ha,22.0
2018,⑥ 3.0~5.0 ha,29.0
2018,⑦ 5.0~7.0 ha,28.0
2018,⑧ 7.0~10.0 ha,39.0
2018,⑨ 10.0 ha~,45.0
2019,,22.2
2019,① 0~0.5 ha,7.0
2019,② 0.5~1.0 ha,12.0
2019,③ 1.0~1.5 ha,13.0
2019,④ 1.5~2.0 ha,16.0
2019,⑤ 2.0~3.0 ha,20.0
2019,⑥ 3.0~5.0 ha,25.0
2019,⑦ 5.0~7.0 ha,30.0
2019,⑧ 7.0~10.0 ha,32.0
2019,⑨ 10.0 ha~,44.0
