Year,성별,Value
2005,,4.2
2005,남성,4.3
2005,여성,4.0
2006,,3.8
2006,남성,4.1
2006,여성,3.5
2007,,3.4
2007,남성,3.7
2007,여성,3.2
2008,,3.4
2008,남성,3.5
2008,여성,3.3
2009,,3.2
2009,남성,3.3
2009,여성,3.1
2010,,3.2
2010,남성,3.7
2010,여성,2.7
2011,,3.0
2011,남성,3.4
2011,여성,2.7
2012,,2.9
2012,남성,3.1
2012,여성,2.7
2013,,3.0
2013,남성,3.1
2013,여성,2.9
2014,,3.0
2014,남성,3.2
2014,여성,2.8
2015,,2.7
2015,남성,2.9
2015,여성,2.5
2016,,2.8
2016,남성,3.1
2016,여성,2.6
2017,,2.8
2017,남성,3.1
2017,여성,2.5
2018,,2.8
2018,남성,3.2
2018,여성,2.5
2019,,2.7
2019,남성,3.0
2019,여성,2.4
