Year,사망원인별,성별,Value
2000,암,,122.4
2000,암,남성,156.0
2000,암,여성,88.6
2000,당뇨,,22.7
2000,당뇨,남성,22.6
2000,당뇨,여성,22.8
2000,심혈관계 질환,,0.3
2000,심혈관계 질환,남성,0.2
2000,심혈관계 질환,여성,0.5
2000,호흡기 질환,,24.47505231
2000,호흡기 질환,남성,28.31128526
2000,호흡기 질환,여성,20.60763239
2001,암,,123.8
2001,암,남성,157.3
2001,암,여성,90.1
2001,당뇨,,23.9
2001,당뇨,남성,23.6
2001,당뇨,여성,24.3
2001,심혈관계 질환,,0.3
2001,심혈관계 질환,남성,0.2
2001,심혈관계 질환,여성,0.5
2001,호흡기 질환,,25.56548573
2001,호흡기 질환,남성,29.61434093
2001,호흡기 질환,여성,21.4847925
2002,암,,130.9
2002,암,남성,166.4
2002,암,여성,95.2
2002,당뇨,,25.2
2002,당뇨,남성,24.4
2002,당뇨,여성,26.1
2002,심혈관계 질환,,0.6
2002,심혈관계 질환,남성,0.5
2002,심혈관계 질환,여성,0.7
2002,호흡기 질환,,27.99541106
2002,호흡기 질환,남성,31.80363481
2002,호흡기 질환,여성,24.15908591
2003,암,,131.9
2003,암,남성,166.3
2003,암,여성,97.3
2003,당뇨,,25.2
2003,당뇨,남성,24.9
2003,당뇨,여성,25.4
2003,심혈관계 질환,,0.7
2003,심혈관계 질환,남성,0.5
2003,심혈관계 질환,여성,0.8
2003,호흡기 질환,,23.6418582
2003,호흡기 질환,남성,27.56737704
2003,호흡기 질환,여성,19.68993094
2004,암,,133.4
2004,암,남성,169.6
2004,암,여성,97.1
2004,당뇨,,24.4
2004,당뇨,남성,24.2
2004,당뇨,여성,24.6
2004,심혈관계 질환,,0.6
2004,심혈관계 질환,남성,0.5
2004,심혈관계 질환,여성,0.7
2004,호흡기 질환,,22.07885052
2004,호흡기 질환,남성,27.78758703
2004,호흡기 질환,여성,16.33517664
2005,암,,134.6
2005,암,남성,169.3
2005,암,여성,99.7
2005,당뇨,,24.3
2005,당뇨,남성,24.5
2005,당뇨,여성,24.2
